Measurement_Date;Air_Temperature;Relative_Humidity;Visibility;Air_Pressure_at_Station_Height;Cloud_Cover;Daily_Precipitation_Height;Snow_Height_Daily_Value;Global_Radiation;Vapor_Pressure;Dew_Point_Temperature;Wind_Direction;Wind_Strength
01.01.2015;-3.5;96.0;36.666.666.666.666.600;10.077.666.666.666.600;4.333.333.333.333.330;0.0;4.0;;4.533.333.333.333.330;-36.999.999.999.999.900;25.333.333.333.333.300;2.0
02.01.2015;1.133.333.333.333.330;7.966.666.666.666.660;7.666.666.666.666.660;10.057.333.333.333.300;6.666.666.666.666.660;02. Jan;3.0;;5.333.333.333.333.330;-0.20000000000000018;20.0;26.666.666.666.666.600
03.01.2015;05. Aug;9.366.666.666.666.660;6.666.666.666.666.660;997.6;8.0;06. Apr;0.0;;8.799.999.999.999.990;05. Mrz;14.666.666.666.666.600;3.0
04.01.2015;3.033.333.333.333.330;8.166.666.666.666.660;8.333.333.333.333.330;10.053.000.000.000.000;33.333.333.333.333.300;0.0;0.0;;06. Feb;18.333.333.333.333.300;26.666.666.666.666.600;2.0
05.01.2015;-0.8000000000000002;8.333.333.333.333.330;6.333.333.333.333.330;10.045.666.666.666.600;2.0;0.0;0.0;;04. Jul;-18.333.333.333.333.300;17.333.333.333.333.300;1.0
06.01.2015;-14.666.666.666.666.600;8.566.666.666.666.660;6.0;9.966.333.333.333.330;26.666.666.666.666.600;0.0;0.0;;46.000.000.000.000.000;-23.000.000.000.000.000;25.333.333.333.333.300;1.0
07.01.2015;3.033.333.333.333.330;9.066.666.666.666.660;6.666.666.666.666.660;10.021.333.333.333.300;8.0;0.2;0.0;;68.999.999.999.999.900;24.333.333.333.333.300;28.0;13.333.333.333.333.300
08.01.2015;09. Mai;7.233.333.333.333.330;9.0;10.014.333.333.333.300;-328.0;0.5;0.0;;8.633.333.333.333.330;07. Feb;20.0;4.666.666.666.666.660
09.01.2015;9.633.333.333.333.330;7.333.333.333.333.330;9.0;10.020.333.333.333.300;8.0;0.9;0.0;;8.833.333.333.333.330;7.366.666.666.666.660;18.666.666.666.666.600;5.333.333.333.333.330
10.01.2015;13.566.666.666.666.600;7.466.666.666.666.660;9.0;9.948.666.666.666.660;7.333.333.333.333.330;13. Jul;0.0;;11. Jun;11. Jan;20.0;5.0
11.01.2015;41.000.000.000.000.000;80.0;9.0;997.6;6.333.333.333.333.330;0.0;0.0;;66.000.000.000.000.000;28.000.000.000.000.000;20.0;33.333.333.333.333.300
12.01.2015;06. Aug;55.333.333.333.333.300;9.0;9.983.333.333.333.330;7.333.333.333.333.330;0.0;0.0;;53.999.999.999.999.900;3.266.666.666.666.660;20.0;4.0
13.01.2015;13.066.666.666.666.600;34.0;8.666.666.666.666.660;9.880.666.666.666.660;23.333.333.333.333.300;0.4;0.0;;51.000.000.000.000.000;6.266.666.666.666.660;20.0;36.666.666.666.666.600
14.01.2015;7.866.666.666.666.660;7.466.666.666.666.660;8.0;9.894.666.666.666.660;7.0;03. Apr;0.0;;8.0;58.999.999.999.999.900;20.0;4.333.333.333.333.330
15.01.2015;10.666.666.666.666.600;51.0;9.0;9.818.333.333.333.330;7.333.333.333.333.330;0.3;0.0;;6.533.333.333.333.330;6.133.333.333.333.330;18.666.666.666.666.600;26.666.666.666.666.600
16.01.2015;6.0;94.0;6.333.333.333.333.330;9.795.333.333.333.330;7.666.666.666.666.660;28.0;0.0;;8.799.999.999.999.990;56.000.000.000.000.000;24.0;23.333.333.333.333.300
17.01.2015;39.333.333.333.333.300;9.033.333.333.333.330;8.0;9.876.333.333.333.330;7.666.666.666.666.660;04. Mrz;0.0;;07. Mrz;33.000.000.000.000.000;10.666.666.666.666.600;13.333.333.333.333.300
18.01.2015;0.16666666666666674;88.0;7.0;9.878.333.333.333.330;23.333.333.333.333.300;0.0;0.0;;5.333.333.333.333.330;-0.6;16.0;1.0
19.01.2015;0.7333333333333333;94.0;6.333.333.333.333.330;983.1;7.0;05. Jun;0.0;;6.066.666.666.666.660;0.4000000000000001;13.333.333.333.333.300;1.0
20.01.2015;0.5666666666666668;9.533.333.333.333.330;5.333.333.333.333.330;9.830.333.333.333.330;8.0;01. Mrz;0.0;;6.066.666.666.666.660;0.3;30.666.666.666.666.600;13.333.333.333.333.300
21.01.2015;12.333.333.333.333.300;93.0;5.666.666.666.666.660;981.0;8.0;0.0;0.0;;06. Feb;0.8000000000000002;28.0;1.0
22.01.2015;0.7999999999999999;9.166.666.666.666.660;5.333.333.333.333.330;9.849.666.666.666.660;8.0;0.1;0.0;;58.999.999.999.999.900;0.3333333333333333;30.666.666.666.666.600;1.0
23.01.2015;10.666.666.666.666.600;9.266.666.666.666.660;5.666.666.666.666.660;9.938.666.666.666.660;7.666.666.666.666.660;0.0;0.0;;6.166.666.666.666.660;0.6333333333333333;32.0;2.0
24.01.2015;14.333.333.333.333.300;85.0;6.333.333.333.333.330;9.939.666.666.666.660;7.666.666.666.666.660;01. Jul;0.0;;5.733.333.333.333.330;0.5333333333333333;22.666.666.666.666.600;2.0
25.01.2015;01. Mrz;90.0;7.0;10.017.666.666.666.600;7.666.666.666.666.660;0.5;0.0;;6.033.333.333.333.330;0.7000000000000001;18.666.666.666.666.600;0.6666666666666666
26.01.2015;14.666.666.666.666.600;9.033.333.333.333.330;6.666.666.666.666.660;9.969.333.333.333.330;7.333.333.333.333.330;09. Feb;0.0;;6.166.666.666.666.660;0.9;17.333.333.333.333.300;26.666.666.666.666.600
27.01.2015;29.333.333.333.333.300;8.566.666.666.666.660;7.0;9.961.333.333.333.330;7.0;0.1;0.0;;6.433.333.333.333.330;20.333.333.333.333.300;17.333.333.333.333.300;13.333.333.333.333.300
28.01.2015;37.999.999.999.999.900;7.466.666.666.666.660;8.0;987.9;7.666.666.666.666.660;0.9;0.0;;58.999.999.999.999.900;19.666.666.666.666.600;18.666.666.666.666.600;4.0
29.01.2015;4.133.333.333.333.330;80.0;8.666.666.666.666.660;9.662.666.666.666.660;5.333.333.333.333.330;02. Jan;0.0;;66.000.000.000.000.000;2.733.333.333.333.330;20.0;4.0
