Beginn-UTC,Ende-UTC,Beginn-Lokalzeit,Ende-Lokalzeit,Globalstrahlung (W/m²)
2018-04-23 00:00:00,2018-04-24 00:00:00,2018-04-23 02:00:00,2018-04-24 02:00:00,-9999
2018-04-24 00:00:00,2018-04-25 00:00:00,2018-04-24 02:00:00,2018-04-25 02:00:00,-9999
2018-04-25 00:00:00,2018-04-26 00:00:00,2018-04-25 02:00:00,2018-04-26 02:00:00,-9999
2018-04-26 00:00:00,2018-04-27 00:00:00,2018-04-26 02:00:00,2018-04-27 02:00:00,-9999
2018-04-27 00:00:00,2018-04-28 00:00:00,2018-04-27 02:00:00,2018-04-28 02:00:00,-9999
2018-04-28 00:00:00,2018-04-29 00:00:00,2018-04-28 02:00:00,2018-04-29 02:00:00,-9999
2018-04-29 00:00:00,2018-04-30 00:00:00,2018-04-29 02:00:00,2018-04-30 02:00:00,-9999
2018-04-30 00:00:00,2018-05-01 00:00:00,2018-04-30 02:00:00,2018-05-01 02:00:00,-9999
2018-05-01 00:00:00,2018-05-02 00:00:00,2018-05-01 02:00:00,2018-05-02 02:00:00,-9999
2018-05-02 00:00:00,2018-05-03 00:00:00,2018-05-02 02:00:00,2018-05-03 02:00:00,-9999
2018-05-03 00:00:00,2018-05-04 00:00:00,2018-05-03 02:00:00,2018-05-04 02:00:00,-9999
2018-05-04 00:00:00,2018-05-05 00:00:00,2018-05-04 02:00:00,2018-05-05 02:00:00,-9999
2018-05-05 00:00:00,2018-05-06 00:00:00,2018-05-05 02:00:00,2018-05-06 02:00:00,-9999
2018-05-06 00:00:00,2018-05-07 00:00:00,2018-05-06 02:00:00,2018-05-07 02:00:00,-9999
2018-05-07 00:00:00,2018-05-08 00:00:00,2018-05-07 02:00:00,2018-05-08 02:00:00,-9999
2018-05-08 00:00:00,2018-05-09 00:00:00,2018-05-08 02:00:00,2018-05-09 02:00:00,-9999
2018-05-09 00:00:00,2018-05-10 00:00:00,2018-05-09 02:00:00,2018-05-10 02:00:00,-9999
2018-05-10 00:00:00,2018-05-11 00:00:00,2018-05-10 02:00:00,2018-05-11 02:00:00,-9999
2018-05-11 00:00:00,2018-05-12 00:00:00,2018-05-11 02:00:00,2018-05-12 02:00:00,-9999
2018-05-12 00:00:00,2018-05-13 00:00:00,2018-05-12 02:00:00,2018-05-13 02:00:00,-9999
2018-05-13 00:00:00,2018-05-14 00:00:00,2018-05-13 02:00:00,2018-05-14 02:00:00,-9999
2018-05-14 00:00:00,2018-05-15 00:00:00,2018-05-14 02:00:00,2018-05-15 02:00:00,-9999
2018-05-15 00:00:00,2018-05-16 00:00:00,2018-05-15 02:00:00,2018-05-16 02:00:00,-9999
2018-05-16 00:00:00,2018-05-17 00:00:00,2018-05-16 02:00:00,2018-05-17 02:00:00,-9999
2018-05-17 00:00:00,2018-05-18 00:00:00,2018-05-17 02:00:00,2018-05-18 02:00:00,-9999
2018-05-18 00:00:00,2018-05-19 00:00:00,2018-05-18 02:00:00,2018-05-19 02:00:00,-9999
2018-05-19 00:00:00,2018-05-20 00:00:00,2018-05-19 02:00:00,2018-05-20 02:00:00,-9999
2018-05-20 00:00:00,2018-05-21 00:00:00,2018-05-20 02:00:00,2018-05-21 02:00:00,-9999
2018-05-21 00:00:00,2018-05-22 00:00:00,2018-05-21 02:00:00,2018-05-22 02:00:00,-9999
2018-05-22 00:00:00,2018-05-23 00:00:00,2018-05-22 02:00:00,2018-05-23 02:00:00,-9999
2018-05-23 00:00:00,2018-05-24 00:00:00,2018-05-23 02:00:00,2018-05-24 02:00:00,-9999
2018-06-18 00:00:00,2018-06-19 00:00:00,2018-06-18 02:00:00,2018-06-19 02:00:00,315.7682
2018-06-19 00:00:00,2018-06-20 00:00:00,2018-06-19 02:00:00,2018-06-20 02:00:00,327.6779
2018-06-20 00:00:00,2018-06-21 00:00:00,2018-06-20 02:00:00,2018-06-21 02:00:00,347.7778
2018-06-21 00:00:00,2018-06-22 00:00:00,2018-06-21 02:00:00,2018-06-22 02:00:00,211.2883
2018-06-22 00:00:00,2018-06-23 00:00:00,2018-06-22 02:00:00,2018-06-23 02:00:00,330.692
2018-06-23 00:00:00,2018-06-24 00:00:00,2018-06-23 02:00:00,2018-06-24 02:00:00,354.7168
2018-06-24 00:00:00,2018-06-25 00:00:00,2018-06-24 02:00:00,2018-06-25 02:00:00,275.2139
2018-06-25 00:00:00,2018-06-26 00:00:00,2018-06-25 02:00:00,2018-06-26 02:00:00,283.2956
2018-06-26 00:00:00,2018-06-27 00:00:00,2018-06-26 02:00:00,2018-06-27 02:00:00,355.7131
2018-06-27 00:00:00,2018-06-28 00:00:00,2018-06-27 02:00:00,2018-06-28 02:00:00,292.5587
2018-06-28 00:00:00,2018-06-29 00:00:00,2018-06-28 02:00:00,2018-06-29 02:00:00,215.7648
2018-06-29 00:00:00,2018-06-30 00:00:00,2018-06-29 02:00:00,2018-06-30 02:00:00,181.869
2018-06-30 00:00:00,2018-07-01 00:00:00,2018-06-30 02:00:00,2018-07-01 02:00:00,338.2434
2018-07-01 00:00:00,2018-07-02 00:00:00,2018-07-01 02:00:00,2018-07-02 02:00:00,341.7454
2018-07-02 00:00:00,2018-07-03 00:00:00,2018-07-02 02:00:00,2018-07-03 02:00:00,334.7722
2018-07-03 00:00:00,2018-07-04 00:00:00,2018-07-03 02:00:00,2018-07-04 02:00:00,154.9521
2018-07-05 00:00:00,2018-07-06 00:00:00,2018-07-05 02:00:00,2018-07-06 02:00:00,137.2883
2018-07-06 00:00:00,2018-07-07 00:00:00,2018-07-06 02:00:00,2018-07-07 02:00:00,281.3527
2018-07-07 00:00:00,2018-07-08 00:00:00,2018-07-07 02:00:00,2018-07-08 02:00:00,335.1266
2018-07-08 00:00:00,2018-07-09 00:00:00,2018-07-08 02:00:00,2018-07-09 02:00:00,340.6132
2018-07-09 00:00:00,2018-07-10 00:00:00,2018-07-09 02:00:00,2018-07-10 02:00:00,340.2499
2018-07-10 00:00:00,2018-07-11 00:00:00,2018-07-10 02:00:00,2018-07-11 02:00:00,142.1827
2018-07-11 00:00:00,2018-07-12 00:00:00,2018-07-11 02:00:00,2018-07-12 02:00:00,132.7056
2018-07-12 00:00:00,2018-07-13 00:00:00,2018-07-12 02:00:00,2018-07-13 02:00:00,350.5689
2018-07-13 00:00:00,2018-07-14 00:00:00,2018-07-13 02:00:00,2018-07-14 02:00:00,341.2974
2018-07-14 00:00:00,2018-07-15 00:00:00,2018-07-14 02:00:00,2018-07-15 02:00:00,307.8962
2018-07-15 00:00:00,2018-07-16 00:00:00,2018-07-15 02:00:00,2018-07-16 02:00:00,281.5374
2018-07-16 00:00:00,2018-07-17 00:00:00,2018-07-16 02:00:00,2018-07-17 02:00:00,338.0471
2018-07-17 00:00:00,2018-07-18 00:00:00,2018-07-17 02:00:00,2018-07-18 02:00:00,296.8917
2018-07-18 00:00:00,2018-07-19 00:00:00,2018-07-18 02:00:00,2018-07-19 02:00:00,334.2549
2018-07-19 00:00:00,2018-07-20 00:00:00,2018-07-19 02:00:00,2018-07-20 02:00:00,317.4417
2018-07-20 00:00:00,2018-07-21 00:00:00,2018-07-20 02:00:00,2018-07-21 02:00:00,232.7941
2018-07-21 00:00:00,2018-07-22 00:00:00,2018-07-21 02:00:00,2018-07-22 02:00:00,155.1287
