Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Aug 5, 2023;Aug 6, 2023;118,415.00;86,238.25;4,442.75
Aug 6, 2023;Aug 7, 2023;112,676.00;72,599.50;6,806.75
Aug 7, 2023;Aug 8, 2023;144,618.75;96,165.50;8,196.00
Aug 8, 2023;Aug 9, 2023;145,907.25;97,811.50;6,742.75
Aug 9, 2023;Aug 10, 2023;149,681.00;122,379.75;5,780.50
Aug 10, 2023;Aug 11, 2023;145,477.25;103,665.25;6,544.00
Aug 11, 2023;Aug 12, 2023;143,421.00;100,394.25;3,703.00
Aug 12, 2023;Aug 13, 2023;118,426.75;87,659.75;4,082.00
Aug 13, 2023;Aug 14, 2023;109,293.25;80,116.25;8,191.25
Aug 14, 2023;Aug 15, 2023;145,267.50;111,011.00;3,493.75
Aug 15, 2023;Aug 16, 2023;150,231.25;117,667.25;4,277.75
Aug 16, 2023;Aug 17, 2023;149,012.50;111,322.50;2,997.25
Aug 17, 2023;Aug 18, 2023;149,906.00;118,300.00;2,158.75
Aug 18, 2023;Aug 19, 2023;144,430.75;99,551.50;4,765.00
Aug 19, 2023;Aug 20, 2023;120,305.50;82,180.00;4,212.50
Aug 20, 2023;Aug 21, 2023;111,159.75;72,651.50;6,085.75
Aug 21, 2023;Aug 22, 2023;153,685.50;116,147.00;2,337.50
Aug 22, 2023;Aug 23, 2023;159,809.25;120,434.00;3,839.50
Aug 23, 2023;Aug 24, 2023;157,834.75;120,763.50;4,656.50
Aug 24, 2023;Aug 25, 2023;156,917.00;120,835.75;2,434.00
Aug 25, 2023;Aug 26, 2023;153,699.00;121,695.50;2,117.00
Aug 26, 2023;Aug 27, 2023;123,089.50;104,338.75;10,067.25
Aug 27, 2023;Aug 28, 2023;110,338.50;96,136.75;6,718.50
Aug 28, 2023;Aug 29, 2023;152,217.75;136,180.50;5,802.50
Aug 29, 2023;Aug 30, 2023;157,877.50;142,319.75;4,801.50
Aug 30, 2023;Aug 31, 2023;155,493.25;124,951.00;3,322.50
Aug 31, 2023;Sep 1, 2023;155,742.00;120,954.25;7,258.00
Sep 1, 2023;Sep 2, 2023;151,629.50;117,758.00;3,220.25
Sep 2, 2023;Sep 3, 2023;119,750.50;82,220.00;5,496.75
Sep 3, 2023;Sep 4, 2023;109,861.75;77,624.50;7,952.75
Sep 4, 2023;Sep 5, 2023;151,988.50;100,754.50;4,347.50
Sep 5, 2023;Sep 6, 2023;158,834.75;106,207.75;4,252.50
Sep 6, 2023;Sep 7, 2023;158,902.00;112,330.25;4,885.00
Sep 7, 2023;Sep 8, 2023;159,535.00;112,979.25;5,078.50
Sep 8, 2023;Sep 9, 2023;156,716.25;116,819.00;3,878.25
Sep 9, 2023;Sep 10, 2023;128,180.50;92,605.00;4,828.75
Sep 10, 2023;Sep 11, 2023;114,739.50;79,539.00;4,069.50
