;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Air_Temperature;Relative_Humidity;Visibility;Air_Pressure_at_Station_Height;Cloud_Cover;Daily_Precipitation_Height;Snow_Height_Daily_Value;Global_Radiation;Vapor_Pressure;Dew_Point_Temperature;Wind_Direction;Wind_Strength
2015-01-01;126180.75;125328.75;13463.5;-3.5;96.0;3.67;1007.77;4.33;0.0;4.0;;4.53;-3.7;25.33;2.0
2015-01-02;147068.75;141690.0;13661.25;1.13;79.67;7.67;1005.73;6.67;2.1;3.0;;5.33;-0.2;20.0;2.67
2015-01-03;141413.5;136265.25;12602.25;5.8;93.67;6.67;997.6;8.0;6.4;0.0;;8.8;5.3;14.67;3.0
2015-01-04;132434.75;125728.25;11493.0;3.03;81.67;8.33;1005.3;3.33;0.0;0.0;;6.2;1.83;26.67;2.0
2015-01-05;152600.5;143883.5;14395.5;-0.8;83.33;6.33;1004.57;2.0;0.0;0.0;;4.7;-1.83;17.33;1.0
2015-01-06;140462.25;132346.25;10740.0;-1.47;85.67;6.0;996.63;2.67;0.0;0.0;;4.6;-2.3;25.33;1.0
2015-01-07;184923.0;180729.0;6371.5;3.03;90.67;6.67;1002.13;8.0;0.2;0.0;;6.9;2.43;28.0;1.33
2015-01-08;190384.75;181904.0;8958.5;9.5;72.33;9.0;1001.43;-328.0;0.5;0.0;;8.63;7.2;20.0;4.67
2015-01-09;186891.75;175582.5;8925.5;9.63;73.33;9.0;1002.03;8.0;0.9;0.0;;8.83;7.37;18.67;5.33
2015-01-10;150299.0;134560.25;10222.25;13.57;74.67;9.0;994.87;7.33;13.7;0.0;;11.6;11.1;20.0;5.0
2015-01-11;140483.5;128586.5;11247.0;4.1;80.0;9.0;997.6;6.33;0.0;0.0;;6.6;2.8;20.0;3.33
2015-01-12;194563.0;182131.0;10363.25;6.8;55.33;9.0;998.33;7.33;0.0;0.0;;5.4;3.27;20.0;4.0
2015-01-13;196379.0;178652.75;7697.25;13.07;34.0;8.67;988.07;2.33;0.4;0.0;;5.1;6.27;20.0;3.67
2015-01-14;198836.0;189080.5;10490.0;7.87;74.67;8.0;989.47;7.0;3.4;0.0;;8.0;5.9;20.0;4.33
2015-01-15;198230.25;190773.25;10923.5;10.67;51.0;9.0;981.83;7.33;0.3;0.0;;6.53;6.13;18.67;2.67
2015-01-16;194664.75;191106.0;8075.0;6.0;94.0;6.33;979.53;7.67;28.0;0.0;;8.8;5.6;24.0;2.33
2015-01-17;161714.5;158557.25;9275.5;3.93;90.33;8.0;987.63;7.67;4.3;0.0;;7.3;3.3;10.67;1.33
2015-01-18;143302.0;136604.5;11314.0;0.17;88.0;7.0;987.83;2.33;0.0;0.0;;5.33;-0.6;16.0;1.0
2015-01-19;200354.5;195028.0;6948.75;0.73;94.0;6.33;983.1;7.0;5.6;0.0;;6.07;0.4;13.33;1.0
2015-01-20;205515.5;204246.5;7210.0;0.57;95.33;5.33;983.03;8.0;1.3;0.0;;6.07;0.3;30.67;1.33
2015-01-21;208325.0;204542.0;8563.5;1.23;93.0;5.67;981.0;8.0;0.0;0.0;;6.2;0.8;28.0;1.0
2015-01-22;206551.75;205157.75;8746.0;0.8;91.67;5.33;984.97;8.0;0.1;0.0;;5.9;0.33;30.67;1.0
2015-01-23;203931.0;203208.0;8018.75;1.07;92.67;5.67;993.87;7.67;0.0;0.0;;6.17;0.63;32.0;2.0
2015-01-24;165199.75;163464.75;8605.0;1.43;85.0;6.33;993.97;7.67;1.7;0.0;;5.73;0.53;22.67;2.0
2015-01-25;147019.25;144875.0;8513.5;1.3;90.0;7.0;1001.77;7.67;0.5;0.0;;6.03;0.7;18.67;0.67
2015-01-26;203710.25;201162.25;6758.25;1.47;90.33;6.67;996.93;7.33;9.2;0.0;;6.17;0.9;17.33;2.67
2015-01-27;206377.5;202286.0;8004.75;2.93;85.67;7.0;996.13;7.0;0.1;0.0;;6.43;2.03;17.33;1.33
2015-01-28;205760.0;199904.5;7980.25;3.8;74.67;8.0;987.9;7.67;0.9;0.0;;5.9;1.97;18.67;4.0
2015-01-29;202513.25;194821.0;10011.0;4.13;80.0;8.67;966.27;5.33;2.1;0.0;;6.6;2.73;20.0;4.0
2015-01-30;199659.75;192233.0;8587.75;2.1;78.33;8.67;954.3;7.33;0.0;0.0;;5.57;0.7;18.67;3.33
2015-01-31;161832.0;156968.0;6229.0;3.47;69.33;8.67;958.03;7.67;0.5;0.0;;5.37;1.3;20.0;3.0
2015-02-01;146035.0;141303.0;10156.25;1.67;86.0;7.33;966.37;7.33;2.2;0.0;;5.9;0.83;20.0;3.67
2015-02-02;201102.25;196092.5;8154.0;1.5;90.67;8.0;975.4;7.33;1.8;0.0;;6.17;0.9;18.67;2.67
2015-02-03;206721.0;201868.0;8212.5;-0.07;87.67;6.33;975.1;8.0;0.0;0.0;;5.3;-0.77;13.33;1.67
2015-02-04;210210.75;205535.0;6135.25;-1.47;74.67;7.67;982.07;4.67;0.0;0.0;;4.03;-2.83;22.67;2.33
2015-02-05;208590.25;199838.5;6692.5;-0.67;68.0;7.67;984.8;8.0;0.0;0.0;;3.97;-2.43;32.0;3.0
2015-02-06;206593.5;191484.75;6978.5;0.13;59.67;7.0;987.7;6.0;0.0;0.0;;3.67;-2.2;13.33;3.0
2015-02-07;168162.0;165278.0;9138.75;-2.0;64.67;6.67;997.13;2.0;0.1;0.0;;3.33;-3.87;22.67;1.0
2015-02-08;150766.75;143381.5;12233.0;-1.83;89.67;5.33;999.67;6.33;1.0;0.0;;4.8;-2.33;29.33;1.33
2015-02-09;204596.0;199018.25;11172.75;1.23;66.0;7.67;1003.0;8.0;0.0;0.0;;4.3;-0.9;12.0;1.67
2015-02-10;206244.0;201367.75;7076.5;2.17;82.67;6.67;1000.67;3.0;0.0;0.0;;5.87;1.0;28.0;1.33
2015-02-11;205898.25;197423.75;6732.75;-1.2;87.67;6.0;996.83;0.67;0.0;0.0;;4.93;-1.83;8.0;1.0
2015-02-12;202468.25;193241.25;6485.25;-2.13;92.0;4.0;994.33;5.33;0.0;0.0;;4.87;-2.47;30.67;1.67
2015-02-13;197642.0;186898.75;5188.0;1.7;87.0;4.67;989.83;5.0;2.0;0.0;;6.03;0.8;20.0;1.0
2015-02-14;158140.5;148257.75;12766.25;7.6;78.0;7.67;981.33;5.33;0.3;0.0;;8.03;5.73;14.67;2.33
2015-02-15;143722.0;136823.5;13595.75;0.37;96.33;3.67;983.63;8.0;0.0;0.0;;6.07;0.13;30.67;1.67
2015-02-16;190631.25;183527.75;10877.5;0.93;92.67;6.0;991.33;8.0;0.0;0.0;;6.07;0.5;28.0;1.33
2015-02-17;198615.25;194608.5;6884.0;-332.6;-271.67;-329.33;334.8;-327.67;0.0;0.0;;-329.1;-332.9;-313.0;-332.0
2015-02-18;204048.25;199634.25;8922.5;-330.3;-285.0;-328.67;339.53;-328.67;0.0;0.0;;-329.1;-331.57;-313.0;-331.67
2015-02-19;200642.75;192300.75;9676.5;1.2;80.0;6.0;1002.2;4.0;0.0;0.0;;5.3;-0.0;26.67;1.33
2015-02-20;193761.0;173974.5;11321.0;5.5;53.67;7.67;987.8;1.33;0.9;0.0;;4.3;1.33;18.67;2.33
2015-02-21;157153.5;148077.5;9396.25;4.57;86.0;6.67;974.3;7.0;5.8;0.0;;7.27;3.57;18.67;3.0
2015-02-22;141674.0;135563.75;7589.25;3.0;88.33;6.0;982.53;8.0;0.2;0.0;;6.7;2.23;26.67;1.33
2015-02-23;197848.0;192077.75;8189.25;4.6;85.67;7.33;974.33;7.33;13.1;0.0;;7.37;3.6;18.67;3.0
2015-02-24;199637.5;190208.75;10634.0;5.03;68.67;8.67;983.0;7.0;1.1;0.0;;5.97;2.73;18.67;3.33
2015-02-25;198803.75;185619.75;7958.0;4.8;69.33;8.0;991.47;3.33;0.0;0.0;;5.83;2.5;20.0;1.67
2015-02-26;197228.25;176832.75;9945.25;5.8;58.0;8.33;990.47;5.33;2.7;0.0;;4.97;2.27;21.33;1.67
2015-02-27;195764.5;191135.5;6364.0;4.07;93.67;6.33;985.67;7.67;13.2;0.0;;7.67;3.67;21.33;1.67
2015-02-28;157039.5;142933.25;10495.5;3.8;79.0;7.33;992.2;4.0;1.5;0.0;;6.23;2.3;25.33;1.67
2015-03-01;138484.75;128252.5;8928.5;8.17;83.67;8.33;982.83;7.67;0.6;0.0;;9.17;6.83;16.0;3.33
2015-03-02;193436.75;176430.25;15037.5;8.2;76.67;8.67;983.5;6.67;1.8;0.0;;8.4;6.3;17.33;3.33
2015-03-03;197437.75;172106.75;13544.5;7.77;54.33;8.67;994.3;5.33;0.9;0.0;;5.6;3.9;18.67;3.33
2015-03-04;197778.25;180930.5;7184.0;4.23;70.67;9.0;999.47;5.33;0.0;0.0;;5.73;2.13;25.33;1.33
2015-03-05;197000.0;180846.0;8960.75;4.43;62.67;8.33;1007.47;7.33;0.0;0.0;;5.07;1.67;32.0;2.0
2015-03-06;191934.25;172674.75;6559.75;3.03;68.33;7.67;1007.87;0.0;0.0;0.0;;5.0;0.63;20.0;1.33
2015-03-07;155175.25;135261.5;11575.25;4.63;67.33;7.67;1003.53;1.67;0.0;0.0;;5.47;1.97;18.67;1.0
2015-03-08;134666.25;112251.25;14720.5;6.07;72.33;7.33;996.97;4.0;0.0;0.0;;6.57;3.6;21.33;1.33
2015-03-09;185876.75;162495.25;8012.25;7.07;71.67;7.0;996.7;3.0;0.0;0.0;;7.07;4.57;25.33;1.33
2015-03-10;192515.5;175580.25;8124.0;7.97;71.33;6.67;998.2;3.67;0.1;0.0;;7.43;5.3;25.33;1.67
