Measurement_Date;Air_Temperature;Relative_Humidity;Visibility;Air_Pressure_at_Station_Height;Cloud_Cover;Daily_Precipitation_Height;Snow_Height_Daily_Value;Global_Radiation;Vapor_Pressure;Dew_Point_Temperature;Wind_Direction;Wind_Strength
2015-01-01;-3.5;96.0;3.67;1007.77;4.33;0.0;4.0;;4.53;-3.7;25.33;2.0
2015-01-02;1.13;79.67;7.67;1005.73;6.67;2.1;3.0;;5.33;-0.2;20.0;2.67
2015-01-03;5.8;93.67;6.67;997.6;8.0;6.4;0.0;;8.8;5.3;14.67;3.0
2015-01-04;3.03;81.67;8.33;1005.3;3.33;0.0;0.0;;6.2;1.83;26.67;2.0
2015-01-05;-0.8;83.33;6.33;1004.57;2.0;0.0;0.0;;4.7;-1.83;17.33;1.0
2015-01-06;-1.47;85.67;6.0;996.63;2.67;0.0;0.0;;4.6;-2.3;25.33;1.0
2015-01-07;3.03;90.67;6.67;1002.13;8.0;0.2;0.0;;6.9;2.43;28.0;1.33
2015-01-08;9.5;72.33;9.0;1001.43;-328.0;0.5;0.0;;8.63;7.2;20.0;4.67
2015-01-09;9.63;73.33;9.0;1002.03;8.0;0.9;0.0;;8.83;7.37;18.67;5.33
2015-01-10;13.57;74.67;9.0;994.87;7.33;13.7;0.0;;11.6;11.1;20.0;5.0
2015-01-11;4.1;80.0;9.0;997.6;6.33;0.0;0.0;;6.6;2.8;20.0;3.33
2015-01-12;6.8;55.33;9.0;998.33;7.33;0.0;0.0;;5.4;3.27;20.0;4.0
2015-01-13;13.07;34.0;8.67;988.07;2.33;0.4;0.0;;5.1;6.27;20.0;3.67
2015-01-14;7.87;74.67;8.0;989.47;7.0;3.4;0.0;;8.0;5.9;20.0;4.33
2015-01-15;10.67;51.0;9.0;981.83;7.33;0.3;0.0;;6.53;6.13;18.67;2.67
2015-01-16;6.0;94.0;6.33;979.53;7.67;28.0;0.0;;8.8;5.6;24.0;2.33
2015-01-17;3.93;90.33;8.0;987.63;7.67;4.3;0.0;;7.3;3.3;10.67;1.33
2015-01-18;0.17;88.0;7.0;987.83;2.33;0.0;0.0;;5.33;-0.6;16.0;1.0
2015-01-19;0.73;94.0;6.33;983.1;7.0;5.6;0.0;;6.07;0.4;13.33;1.0
2015-01-20;0.57;95.33;5.33;983.03;8.0;1.3;0.0;;6.07;0.3;30.67;1.33
2015-01-21;1.23;93.0;5.67;981.0;8.0;0.0;0.0;;6.2;0.8;28.0;1.0
2015-01-22;0.8;91.67;5.33;984.97;8.0;0.1;0.0;;5.9;0.33;30.67;1.0
2015-01-23;1.07;92.67;5.67;993.87;7.67;0.0;0.0;;6.17;0.63;32.0;2.0
2015-01-24;1.43;85.0;6.33;993.97;7.67;1.7;0.0;;5.73;0.53;22.67;2.0
2015-01-25;1.3;90.0;7.0;1001.77;7.67;0.5;0.0;;6.03;0.7;18.67;0.67
2015-01-26;1.47;90.33;6.67;996.93;7.33;9.2;0.0;;6.17;0.9;17.33;2.67
2015-01-27;2.93;85.67;7.0;996.13;7.0;0.1;0.0;;6.43;2.03;17.33;1.33
2015-01-28;3.8;74.67;8.0;987.9;7.67;0.9;0.0;;5.9;1.97;18.67;4.0
