STATIONS_ID;MESS_DATUM;QN_4;PP_TER;eor
       1443;2023080506;    9;  989.3;eor
       1443;2023080512;    9;  986.6;eor
       1443;2023080518;    9;  983.0;eor
       1443;2023080606;    9;  982.8;eor
       1443;2023080612;    9;  985.7;eor
       1443;2023080618;    9;  988.9;eor
       1443;2023080706;    9;  991.3;eor
       1443;2023080712;    9;  992.7;eor
       1443;2023080718;    9;  992.5;eor
       1443;2023080806;    9;  991.2;eor
       1443;2023080812;    9;  990.0;eor
       1443;2023080818;    9;  989.7;eor
       1443;2023080906;    9;  989.5;eor
       1443;2023080912;    9;  990.2;eor
       1443;2023080918;    9;  991.6;eor
       1443;2023081006;    9;  993.6;eor
       1443;2023081012;    9;  992.2;eor
       1443;2023081018;    9;  991.1;eor
       1443;2023081106;    9;  994.1;eor
       1443;2023081112;    9;  993.8;eor
       1443;2023081118;    9;  991.6;eor
       1443;2023081206;    9;  990.9;eor
       1443;2023081212;    9;  991.1;eor
       1443;2023081218;    9;  990.6;eor
       1443;2023081306;    9;  991.2;eor
       1443;2023081312;    9;  990.1;eor
       1443;2023081318;    9;  988.2;eor
       1443;2023081406;    9;  987.3;eor
       1443;2023081412;    9;  988.1;eor
       1443;2023081418;    9;  986.6;eor
       1443;2023081506;    9;  988.8;eor
       1443;2023081512;    9;  990.2;eor
       1443;2023081518;    9;  989.4;eor
       1443;2023081606;    9;  990.6;eor
       1443;2023081612;    9;  989.7;eor
       1443;2023081618;    9;  988.4;eor
       1443;2023081706;    9;  989.6;eor
       1443;2023081712;    9;  988.9;eor
       1443;2023081718;    9;  987.6;eor
       1443;2023081806;    9;  988.0;eor
       1443;2023081812;    9;  987.4;eor
       1443;2023081818;    9;  986.1;eor
       1443;2023081906;    9;  987.9;eor
       1443;2023081912;    9;  989.3;eor
       1443;2023081918;    9;  991.0;eor
       1443;2023082006;    9;  993.1;eor
       1443;2023082012;    9;  992.8;eor
       1443;2023082018;    9;  992.2;eor
       1443;2023082106;    9;  994.4;eor
       1443;2023082112;    9;  993.7;eor
       1443;2023082118;    9;  991.9;eor
       1443;2023082206;    9;  992.5;eor
       1443;2023082212;    9;  991.7;eor
       1443;2023082218;    9;  990.5;eor
       1443;2023082306;    9;  991.8;eor
       1443;2023082312;    9;  991.6;eor
       1443;2023082318;    9;  990.6;eor
       1443;2023082406;    9;  988.3;eor
       1443;2023082412;    9;  986.1;eor
       1443;2023082418;    9;  986.4;eor
       1443;2023082506;    9;  985.4;eor
       1443;2023082512;    9;  983.8;eor
       1443;2023082518;    9;  983.4;eor
       1443;2023082606;    9;  986.2;eor
       1443;2023082612;    9;  986.9;eor
       1443;2023082618;    9;  985.8;eor
       1443;2023082706;    9;  983.1;eor
