STATIONS_ID;MESS_DATUM;QN_592;ATMO_STRAHL;FD_STRAHL;FG_STRAHL;SD_STRAHL;eor
       1443;19730101;    1;     -999;     -999;   371.00;    0.9;eor
       1443;19730102;    1;     -999;     -999;   366.00;    3.7;eor
       1443;19730103;    1;     -999;     -999;   226.00;    0.0;eor
       1443;19730104;    1;     -999;     -999;   167.00;    0.0;eor
       1443;19730105;    1;     -999;     -999;   120.00;    0.0;eor
       1443;19730106;    1;     -999;     -999;   118.00;    0.0;eor
       1443;19730107;    1;     -999;     -999;   283.00;    1.9;eor
       1443;19730108;    1;     -999;     -999;    89.00;    0.0;eor
       1443;19730109;    1;     -999;     -999;   101.00;    0.0;eor
       1443;19730110;    1;     -999;     -999;   515.00;    5.4;eor
       1443;19730111;    1;     -999;     -999;   579.00;    6.8;eor
       1443;19730112;    1;     -999;     -999;   536.00;    4.4;eor
       1443;19730113;    1;     -999;     -999;   271.00;    0.0;eor
       1443;19730114;    1;     -999;     -999;   295.00;    0.4;eor
       1443;19730115;    1;     -999;     -999;   152.00;    0.0;eor
       1443;19730116;    1;     -999;     -999;   347.00;    0.8;eor
       1443;19730117;    1;     -999;     -999;   180.00;    0.0;eor
       1443;19730118;    1;     -999;     -999;    81.00;    0.0;eor
       1443;19730119;    1;     -999;     -999;   184.00;    0.0;eor
       1443;19730120;    1;     -999;     -999;   276.00;    0.0;eor
       1443;19730121;    1;     -999;     -999;   229.00;    0.6;eor
       1443;19730122;    1;     -999;     -999;   406.00;    2.4;eor
       1443;19730123;    1;     -999;     -999;   407.00;    0.5;eor
       1443;19730124;    1;     -999;     -999;   178.00;    0.0;eor
       1443;19730125;    1;     -999;     -999;   217.00;    0.0;eor
       1443;19730126;    1;     -999;     -999;   674.00;    5.7;eor
       1443;19730127;    1;     -999;     -999;    63.00;    0.0;eor
       1443;19730128;    1;     -999;     -999;   216.00;    0.0;eor
       1443;19730129;    1;     -999;     -999;   120.00;    0.0;eor
       1443;19730130;    1;     -999;     -999;   196.00;    0.0;eor
       1443;19730131;    1;     -999;     -999;   162.00;    0.0;eor
       1443;19730201;    1;     -999;     -999;   468.00;    2.3;eor
       1443;19730202;    1;     -999;     -999;   173.00;    0.0;eor
       1443;19730203;    1;     -999;     -999;   207.00;    0.0;eor
       1443;19730204;    1;     -999;     -999;   564.00;    1.8;eor
       1443;19730205;    1;     -999;     -999;   496.00;    3.0;eor
       1443;19730206;    1;     -999;     -999;   496.00;    1.5;eor
       1443;19730207;    1;     -999;     -999;   654.00;    2.2;eor
       1443;19730208;    1;     -999;     -999;   681.00;    4.8;eor
       1443;19730209;    1;     -999;     -999;   469.00;    0.7;eor
       1443;19730210;    1;     -999;     -999;   244.00;    0.5;eor
       1443;19730211;    1;     -999;     -999;   279.00;    0.3;eor
       1443;19730212;    1;     -999;     -999;   158.00;    0.1;eor
       1443;19730213;    1;     -999;     -999;   426.00;    0.5;eor
       1443;19730214;    1;     -999;     -999;   990.00;    8.3;eor
       1443;19730215;    1;     -999;     -999;  1069.00;    9.4;eor
       1443;19730216;    1;     -999;     -999;   737.00;    4.7;eor
       1443;19730217;    1;     -999;     -999;   854.00;    4.4;eor
       1443;19730218;    1;     -999;     -999;   330.00;    0.0;eor
       1443;19730219;    1;     -999;     -999;   250.00;    0.0;eor
       1443;19730220;    1;     -999;     -999;   531.00;    0.1;eor
       1443;19730221;    1;     -999;     -999;   452.00;    0.3;eor
       1443;19730222;    1;     -999;     -999;   312.00;    0.8;eor
       1443;19730223;    1;     -999;     -999;   256.00;    0.2;eor
       1443;19730224;    1;     -999;     -999;   904.00;    5.2;eor
       1443;19730225;    1;     -999;     -999;   582.00;    1.7;eor
       1443;19730226;    1;     -999;     -999;  1011.00;    6.3;eor
