STATIONS_ID;MESS_DATUM;QN_4;VP_TER;E_TF_TER;TF_TER;RF_TER;eor
       1443;2023080506;    9;  14.6;   0;   13.1;  92.0;eor
       1443;2023080512;    9;  12.3;   0;   14.4;  50.0;eor
       1443;2023080518;    9;  13.6;   0;   15.4;  53.0;eor
       1443;2023080606;    9;  13.5;   0;   12.2;  88.0;eor
       1443;2023080612;    9;  14.3;   0;   13.2;  86.0;eor
       1443;2023080618;    9;  11.8;   0;   11.9;  69.0;eor
       1443;2023080706;    9;  12.1;   0;   11.3;  80.0;eor
       1443;2023080712;    9;  12.1;   0;   13.0;  62.0;eor
       1443;2023080718;    9;  12.5;   0;   13.6;  60.0;eor
       1443;2023080806;    9;  11.9;   0;   10.8;  82.0;eor
       1443;2023080812;    9;  11.2;   0;   14.0;  44.0;eor
       1443;2023080818;    9;  12.9;   0;   14.9;  52.0;eor
       1443;2023080906;    9;  12.9;   0;   14.1;  59.0;eor
       1443;2023080912;    9;  14.1;   0;   16.0;  53.0;eor
       1443;2023080918;    9;  16.1;   0;   16.7;  64.0;eor
       1443;2023081006;    9;  14.5;   0;   13.6;  83.0;eor
       1443;2023081012;    9;  16.4;   0;   18.4;  50.0;eor
       1443;2023081018;    9;  16.3;   0;   18.0;  53.0;eor
       1443;2023081106;    9;  16.1;   0;   15.3;  81.0;eor
       1443;2023081112;    9;  17.1;   0;   19.7;  44.0;eor
       1443;2023081118;    9;  16.8;   0;   19.9;  40.0;eor
       1443;2023081206;    9;  19.4;   0;   17.8;  87.0;eor
       1443;2023081212;    9;  22.7;   0;   20.5;  82.0;eor
       1443;2023081218;    9;  22.6;   0;   21.2;  70.0;eor
       1443;2023081306;    9;  21.7;   0;   19.1;  94.0;eor
       1443;2023081312;    9;  21.7;   0;   21.1;  64.0;eor
       1443;2023081318;    9;  21.9;   0;   21.1;  66.0;eor
       1443;2023081406;    9;  22.4;   0;   19.8;  90.0;eor
       1443;2023081412;    9;  21.7;   0;   21.7;  57.0;eor
       1443;2023081418;    9;  23.6;   0;   22.5;  61.0;eor
       1443;2023081506;    9;  22.0;   0;   19.6;  88.0;eor
       1443;2023081512;    9;  16.6;   0;   19.3;  44.0;eor
       1443;2023081518;    9;  17.4;   0;   19.6;  47.0;eor
       1443;2023081606;    9;  20.3;   0;   18.4;  87.0;eor
       1443;2023081612;    9;  21.5;   0;   21.5;  57.0;eor
       1443;2023081618;    9;  23.1;   0;   22.2;  63.0;eor
       1443;2023081706;    9;  21.1;   0;   18.6;  94.0;eor
       1443;2023081712;    9;  19.0;   0;   20.8;  47.0;eor
       1443;2023081718;    9;  21.5;   0;   21.6;  57.0;eor
       1443;2023081806;    9;  17.6;   0;   16.8;  79.0;eor
       1443;2023081812;    9;  17.9;   0;   20.8;  40.0;eor
       1443;2023081818;    9;  19.8;   0;   21.1;  49.0;eor
       1443;2023081906;    9;  18.0;   0;   17.2;  78.0;eor
       1443;2023081912;    9;  15.3;   0;   20.2;  30.0;eor
       1443;2023081918;    9;  20.3;   0;   21.3;  51.0;eor
       1443;2023082006;    9;  20.4;   0;   18.9;  82.0;eor
       1443;2023082012;    9;  24.9;   0;   23.8;  56.0;eor
       1443;2023082018;    9;  24.2;   0;   23.0;  61.0;eor
       1443;2023082106;    9;  23.0;   0;   20.4;  88.0;eor
       1443;2023082112;    9;  22.4;   0;   23.0;  49.0;eor
       1443;2023082118;    9;  21.2;   0;   22.1;  49.0;eor
       1443;2023082206;    9;  21.3;   0;   19.5;  83.0;eor
       1443;2023082212;    9;  21.2;   0;   22.5;  45.0;eor
       1443;2023082218;    9;  22.7;   0;   22.5;  55.0;eor
       1443;2023082306;    9;  19.3;   0;   18.2;  79.0;eor
       1443;2023082312;    9;  19.8;   0;   21.2;  48.0;eor
       1443;2023082318;    9;  19.9;   0;   20.6;  55.0;eor
       1443;2023082406;    9;  19.2;   0;   17.9;  82.0;eor
       1443;2023082412;    9;  20.2;   0;   22.1;  43.0;eor
       1443;2023082418;    9;  23.0;   0;   22.0;  64.0;eor
       1443;2023082506;    9;  21.6;   0;   19.3;  89.0;eor
       1443;2023082512;    9;  17.0;   0;   19.0;  48.0;eor
       1443;2023082518;    9;  18.6;   0;   19.4;  57.0;eor
       1443;2023082606;    9;  20.3;   0;   18.3;  89.0;eor
       1443;2023082612;    9;  17.9;   0;   16.9;  82.0;eor
       1443;2023082618;    9;  16.9;   0;   16.3;  77.0;eor
       1443;2023082706;    9;  17.7;   0;   15.8;  96.0;eor
       1443;2023082712;    9;  16.2;   0;   16.7;  66.0;eor
       1443;2023082718;    9;  16.0;   0;   15.1;  84.0;eor
       1443;2023082806;    9;  14.5;   0;   13.0;  93.0;eor
       1443;2023082812;    9;  15.2;   0;   14.0;  88.0;eor
       1443;2023082818;    9;  15.0;   0;   13.6;  91.0;eor
       1443;2023082906;    9;  13.8;   0;   12.1;  93.0;eor
       1443;2023082912;    9;  13.4;   0;   13.7;  69.0;eor
       1443;2023082918;    9;  14.8;   0;   14.3;  78.0;eor
       1443;2023083006;    9;  13.1;   0;   11.5;  92.0;eor
       1443;2023083012;    9;  13.1;   0;   14.5;  56.0;eor
       1443;2023083018;    9;  12.1;   0;   13.8;  54.0;eor
       1443;2023083106;    9;  14.3;   0;   13.3;  85.0;eor
       1443;2023083112;    9;  12.7;   0;   14.1;  57.0;eor
       1443;2023083118;    9;  12.4;   0;   13.9;  55.0;eor
       1443;2023090106;    9;  15.0;   0;   15.4;  67.0;eor
       1443;2023090112;    9;  17.2;   0;   18.3;  57.0;eor
       1443;2023090118;    9;  16.3;   0;   17.1;  62.0;eor
       1443;2023090206;    9;  15.2;   0;   14.1;  86.0;eor
       1443;2023090212;    9;  16.2;   0;   18.7;  46.0;eor
       1443;2023090218;    9;  17.7;   0;   18.7;  58.0;eor
       1443;2023090306;    9;  16.3;   0;   14.8;  92.0;eor
       1443;2023090312;    9;  20.0;   0;   19.7;  66.0;eor
       1443;2023090318;    9;  20.7;   0;   19.7;  72.0;eor
       1443;2023090406;    9;  16.9;   0;   14.9;  97.0;eor
       1443;2023090412;    9;  18.6;   0;   19.5;  56.0;eor
       1443;2023090418;    9;  19.3;   0;   20.3;  53.0;eor
       1443;2023090506;    9;  14.5;   0;   13.3;  88.0;eor
       1443;2023090512;    9;  16.4;   0;   18.9;  46.0;eor
       1443;2023090518;    9;  18.7;   0;   19.2;  60.0;eor
       1443;2023090606;    9;  13.3;   0;   12.1;  86.0;eor
       1443;2023090612;    9;  15.2;   0;   17.7;  47.0;eor
       1443;2023090618;    9;  18.6;   0;   19.0;  61.0;eor
       1443;2023090706;    9;  14.9;   0;   13.8;  87.0;eor
       1443;2023090712;    9;  19.3;   0;   20.2;  54.0;eor
       1443;2023090718;    9;  19.7;   0;   19.8;  62.0;eor
       1443;2023090806;    9;  17.9;   0;   16.1;  93.0;eor
       1443;2023090812;    9;  19.2;   0;   20.9;  47.0;eor
       1443;2023090818;    9;  20.3;   0;   20.5;  59.0;eor
       1443;2023090906;    9;  17.0;   0;   15.7;  88.0;eor
       1443;2023090912;    9;  19.5;   0;   21.1;  48.0;eor
       1443;2023090918;    9;  21.2;   0;   21.0;  61.0;eor
       1443;2023091006;    9;  17.2;   0;   15.7;  90.0;eor
       1443;2023091012;    9;  19.0;   0;   20.7;  48.0;eor
       1443;2023091018;    9;  21.5;   0;   20.6;  68.0;eor
       1443;2023091106;    9;  16.1;   0;   14.8;  90.0;eor
       1443;2023091112;    9;  18.8;   0;   20.8;  45.0;eor
       1443;2023091118;    9;  19.0;   0;   19.2;  63.0;eor
       1443;2023091206;    9;  17.3;   0;   16.4;  81.0;eor
       1443;2023091212;    9;  13.3;   0;   18.5;  30.0;eor
       1443;2023091218;    9;  13.1;   0;   17.4;  35.0;eor
       1443;2023091306;    9;  19.0;   0;   17.4;  88.0;eor
       1443;2023091312;    9;  18.7;   0;   18.2;  73.0;eor
       1443;2023091318;    9;  18.6;   0;   17.3;  84.0;eor
       1443;2023091406;    9;  16.4;   0;   14.9;  92.0;eor
       1443;2023091412;    9;  18.0;   0;   17.8;  70.0;eor
       1443;2023091418;    9;  15.7;   0;   16.4;  63.0;eor
       1443;2023091506;    9;  12.6;   0;   11.1;  91.0;eor
       1443;2023091512;    9;  15.6;   0;   16.9;  57.0;eor
       1443;2023091518;    9;  18.1;   0;   17.9;  70.0;eor
       1443;2023091606;    9;  15.9;   0;   14.4;  93.0;eor
       1443;2023091612;    9;  18.2;   0;   18.9;  59.0;eor
       1443;2023091618;    9;  19.9;   0;   19.1;  73.0;eor
       1443;2023091706;    9;  15.9;   0;   14.3;  93.0;eor
       1443;2023091712;    9;  18.4;   0;   20.4;  47.0;eor
       1443;2023091718;    9;  18.9;   0;   19.0;  65.0;eor
       1443;2023091806;    9;  18.9;   0;   17.4;  87.0;eor
       1443;2023091812;    9;  16.2;   0;   17.1;  61.0;eor
       1443;2023091818;    9;  15.8;   0;   16.8;  60.0;eor
       1443;2023091906;    9;  15.6;   0;   15.1;  78.0;eor
       1443;2023091912;    9;  11.6;   0;   14.4;  45.0;eor
       1443;2023091918;    9;  13.2;   0;   15.0;  54.0;eor
       1443;2023092006;    9;  12.6;   0;   10.8;  94.0;eor
       1443;2023092012;    9;  13.3;   0;   16.6;  42.0;eor
       1443;2023092018;    9;  16.3;   0;   16.3;  71.0;eor
       1443;2023092106;    9;  15.8;   0;   14.9;  83.0;eor
       1443;2023092112;    9;  14.9;   0;   17.5;  46.0;eor
       1443;2023092118;    9;  18.6;   0;   17.5;  81.0;eor
       1443;2023092206;    9;  14.0;   0;   13.2;  81.0;eor
       1443;2023092212;    9;  13.1;   0;   14.0;  61.0;eor
       1443;2023092218;    9;  11.7;   0;   12.3;  64.0;eor
       1443;2023092306;    9;  10.2;   0;    8.0;  89.0;eor
       1443;2023092312;    9;   9.6;   0;   11.6;  47.0;eor
       1443;2023092318;    9;  12.8;   0;   11.9;  81.0;eor
       1443;2023092406;    9;   8.7;   0;    5.3;  97.0;eor
       1443;2023092412;    9;  12.5;   0;   13.8;  58.0;eor
       1443;2023092418;    9;  10.2;   0;   11.8;  52.0;eor
       1443;2023092506;    9;   8.8;   0;    5.6;  94.0;eor
       1443;2023092512;    9;  10.6;   0;   12.9;  47.0;eor
       1443;2023092518;    9;  13.1;   0;   12.8;  75.0;eor
       1443;2023092606;    9;  10.2;   0;    7.3;  99.0;eor
       1443;2023092612;    9;  13.2;   0;   15.2;  52.0;eor
       1443;2023092618;    9;  14.6;   0;   14.1;  79.0;eor
       1443;2023092706;    9;  10.7;   0;    8.0;  98.0;eor
       1443;2023092712;    9;  12.4;   0;   15.2;  45.0;eor
       1443;2023092718;    9;  14.4;   0;   14.8;  68.0;eor
       1443;2023092806;    9;  12.9;   0;   11.6;  88.0;eor
       1443;2023092812;    9;  12.8;   0;   16.1;  42.0;eor
       1443;2023092818;    9;  15.1;   0;   15.7;  65.0;eor
       1443;2023092906;    9;  12.9;   0;   11.3;  92.0;eor
       1443;2023092912;    9;  17.6;   0;   19.6;  48.0;eor
       1443;2023092918;    9;  15.7;   0;   16.4;  64.0;eor
       1443;2023093006;    9;  13.5;   0;   11.9;  93.0;eor
       1443;2023093012;    9;  13.7;   0;   15.5;  53.0;eor
       1443;2023093018;    9;  13.9;   0;   13.3;  79.0;eor
       1443;2023100106;    9;  10.7;   0;    8.0;  98.0;eor
       1443;2023100112;    9;  14.2;   0;   16.2;  52.0;eor
       1443;2023100118;    9;  15.9;   0;   15.8;  72.0;eor
       1443;2023100206;    9;  11.7;   0;    9.4;  98.0;eor
       1443;2023100212;    9;  15.5;   0;   18.0;  47.0;eor
       1443;2023100218;    9;  15.5;   0;   16.3;  62.0;eor
       1443;2023100306;    9;  12.0;   0;   14.5;  47.0;eor
       1443;2023100312;    9;  16.1;   0;   18.1;  50.0;eor
       1443;2023100318;    9;  15.8;   0;   14.9;  84.0;eor
       1443;2023100406;    9;  11.3;   0;    8.8;  98.0;eor
       1443;2023100412;    9;  11.7;   0;   13.2;  56.0;eor
       1443;2023100418;    9;  12.3;   0;   11.6;  78.0;eor
       1443;2023100506;    9;  10.0;   0;    7.2;  95.0;eor
       1443;2023100512;    9;  11.4;   0;   12.5;  58.0;eor
       1443;2023100518;    9;  11.3;   0;   10.2;  82.0;eor
       1443;2023100606;    9;   8.3;   0;    4.7;  94.0;eor
       1443;2023100612;    9;  11.2;   0;   12.8;  53.0;eor
       1443;2023100618;    9;  12.5;   0;   11.5;  83.0;eor
       1443;2023100706;    9;   8.7;   0;    5.4;  94.0;eor
       1443;2023100712;    9;  10.4;   0;   13.6;  42.0;eor
       1443;2023100718;    9;  10.7;   0;   11.6;  59.0;eor
       1443;2023100806;    9;   9.4;   0;    6.9;  88.0;eor
       1443;2023100812;    9;   9.6;   0;   14.4;  31.0;eor
       1443;2023100818;    9;  14.1;   0;   13.7;  78.0;eor
       1443;2023100906;    9;  10.3;   0;    8.1;  91.0;eor
       1443;2023100912;    9;  14.0;   0;   17.2;  43.0;eor
       1443;2023100918;    9;  16.1;   0;   16.0;  72.0;eor
       1443;2023101006;    9;  11.5;   0;    9.2;  97.0;eor
       1443;2023101012;    9;  13.4;   0;   16.7;  42.0;eor
       1443;2023101018;    9;  14.9;   0;   14.7;  74.0;eor
       1443;2023101106;    9;  10.2;   0;    7.9;  91.0;eor
       1443;2023101112;    9;  13.1;   0;   17.0;  38.0;eor
       1443;2023101118;    9;  13.3;   0;   16.0;  46.0;eor
       1443;2023101206;    9;  -999;-999;   -999;-999;eor
       1443;2023101212;    9;  12.0;   0;   16.3;  35.0;eor
       1443;2023101218;    9;   9.4;   0;   14.1;  31.0;eor
       1443;2023101306;    9;  11.6;   0;   10.7;  78.0;eor
       1443;2023101312;    9;  10.2;   0;   16.3;  26.0;eor
       1443;2023101318;    9;  11.1;   0;   14.2;  43.0;eor
       1443;2023101406;    9;  15.3;   0;   15.7;  67.0;eor
       1443;2023101412;    9;  14.6;   0;   13.1;  92.0;eor
       1443;2023101418;    9;  11.0;   0;   10.0;  77.0;eor
       1443;2023101506;    9;   9.6;   0;    7.6;  84.0;eor
       1443;2023101512;    9;   7.7;   0;    8.3;  51.0;eor
       1443;2023101518;    9;   7.9;   0;    5.4;  79.0;eor
       1443;2023101606;    9;   6.4;   0;    1.0;  95.0;eor
       1443;2023101612;    9;   7.8;   0;    8.4;  51.0;eor
       1443;2023101618;    9;   7.9;   0;    5.9;  73.0;eor
       1443;2023101706;    9;   6.5;   0;    1.3;  94.0;eor
       1443;2023101712;    9;   7.9;   0;    8.1;  55.0;eor
