STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       1443;2023080506;    9;  32;   1;eor
       1443;2023080512;    9;  24;   2;eor
       1443;2023080518;    9;  20;   3;eor
       1443;2023080606;    9;  20;   4;eor
       1443;2023080612;    9;  24;   2;eor
       1443;2023080618;    9;  24;   3;eor
       1443;2023080706;    9;  20;   2;eor
       1443;2023080712;    9;  24;   2;eor
       1443;2023080718;    9;  20;   3;eor
       1443;2023080806;    9;  32;   1;eor
       1443;2023080812;    9;  24;   3;eor
       1443;2023080818;    9;  24;   1;eor
       1443;2023080906;    9;  20;   3;eor
       1443;2023080912;    9;  20;   3;eor
       1443;2023080918;    9;  32;   1;eor
       1443;2023081006;    9;  28;   2;eor
       1443;2023081012;    9;  28;   2;eor
       1443;2023081018;    9;  32;   2;eor
       1443;2023081106;    9;  32;   1;eor
       1443;2023081112;    9;  20;   1;eor
       1443;2023081118;    9;  32;   1;eor
       1443;2023081206;    9;  28;   1;eor
       1443;2023081212;    9;  16;   2;eor
       1443;2023081218;    9;  32;   2;eor
       1443;2023081306;    9;  32;   1;eor
       1443;2023081312;    9;  32;   2;eor
       1443;2023081318;    9;   4;   1;eor
       1443;2023081406;    9;  32;   2;eor
       1443;2023081412;    9;  20;   3;eor
       1443;2023081418;    9;  32;   2;eor
       1443;2023081506;    9;  24;   1;eor
       1443;2023081512;    9;  24;   3;eor
       1443;2023081518;    9;  20;   2;eor
       1443;2023081606;    9;  28;   1;eor
       1443;2023081612;    9;  32;   2;eor
       1443;2023081618;    9;  32;   2;eor
       1443;2023081706;    9;  28;   1;eor
       1443;2023081712;    9;  20;   2;eor
       1443;2023081718;    9;  32;   1;eor
       1443;2023081806;    9;   4;   1;eor
       1443;2023081812;    9;  32;   1;eor
       1443;2023081818;    9;  32;   1;eor
       1443;2023081906;    9;  32;   1;eor
       1443;2023081912;    9;  24;   3;eor
       1443;2023081918;    9;   4;   2;eor
       1443;2023082006;    9;  16;   1;eor
       1443;2023082012;    9;  28;   2;eor
       1443;2023082018;    9;  28;   2;eor
       1443;2023082106;    9;  32;   1;eor
       1443;2023082112;    9;  28;   2;eor
       1443;2023082118;    9;  32;   2;eor
       1443;2023082206;    9;   4;   1;eor
       1443;2023082212;    9;  32;   2;eor
       1443;2023082218;    9;  32;   2;eor
       1443;2023082306;    9;  32;   1;eor
       1443;2023082312;    9;  32;   2;eor
       1443;2023082318;    9;  28;   2;eor
       1443;2023082406;    9;  28;   1;eor
       1443;2023082412;    9;  20;   1;eor
       1443;2023082418;    9;  28;   3;eor
       1443;2023082506;    9;   4;   2;eor
       1443;2023082512;    9;  24;   3;eor
       1443;2023082518;    9;  20;   2;eor
       1443;2023082606;    9;  24;   1;eor
       1443;2023082612;    9;  20;   3;eor
       1443;2023082618;    9;  16;   2;eor
       1443;2023082706;    9;  32;   1;eor
       1443;2023082712;    9;  24;   1;eor
       1443;2023082718;    9;  12;   2;eor
       1443;2023082806;    9;  32;   1;eor
       1443;2023082812;    9;  32;   3;eor
       1443;2023082818;    9;  28;   1;eor
       1443;2023082906;    9;  24;   1;eor
       1443;2023082912;    9;  28;   1;eor
       1443;2023082918;    9;  16;   2;eor
       1443;2023083006;    9;   0;   0;eor
       1443;2023083012;    9;  24;   2;eor
       1443;2023083018;    9;  20;   2;eor
       1443;2023083106;    9;  20;   2;eor
       1443;2023083112;    9;  20;   3;eor
       1443;2023083118;    9;  16;   2;eor
       1443;2023090106;    9;  16;   3;eor
       1443;2023090112;    9;  20;   3;eor
       1443;2023090118;    9;  28;   2;eor
       1443;2023090206;    9;  20;   1;eor
       1443;2023090212;    9;  28;   2;eor
       1443;2023090218;    9;  28;   2;eor
       1443;2023090306;    9;   8;   1;eor
       1443;2023090312;    9;  32;   2;eor
       1443;2023090318;    9;  32;   2;eor
       1443;2023090406;    9;  28;   1;eor
       1443;2023090412;    9;  28;   2;eor
       1443;2023090418;    9;  16;   2;eor
       1443;2023090506;    9;  32;   1;eor
       1443;2023090512;    9;  32;   2;eor
       1443;2023090518;    9;  28;   1;eor
       1443;2023090606;    9;  32;   1;eor
       1443;2023090612;    9;  32;   2;eor
       1443;2023090618;    9;  28;   1;eor
       1443;2023090706;    9;  28;   1;eor
       1443;2023090712;    9;  28;   2;eor
       1443;2023090718;    9;  32;   1;eor
       1443;2023090806;    9;  28;   1;eor
       1443;2023090812;    9;  32;   2;eor
       1443;2023090818;    9;  32;   1;eor
       1443;2023090906;    9;   0;   0;eor
       1443;2023090912;    9;  32;   2;eor
       1443;2023090918;    9;  32;   1;eor
       1443;2023091006;    9;  28;   1;eor
       1443;2023091012;    9;  28;   2;eor
       1443;2023091018;    9;  32;   1;eor
       1443;2023091106;    9;   0;   0;eor
       1443;2023091112;    9;  32;   2;eor
       1443;2023091118;    9;  32;   1;eor
       1443;2023091206;    9;   8;   1;eor
       1443;2023091212;    9;  20;   3;eor
       1443;2023091218;    9;  16;   3;eor
       1443;2023091306;    9;  20;   1;eor
       1443;2023091312;    9;  32;   3;eor
       1443;2023091318;    9;  28;   1;eor
       1443;2023091406;    9;  32;   1;eor
       1443;2023091412;    9;  28;   1;eor
       1443;2023091418;    9;  32;   2;eor
       1443;2023091506;    9;  28;   1;eor
       1443;2023091512;    9;  32;   1;eor
       1443;2023091518;    9;   4;   1;eor
       1443;2023091606;    9;  20;   2;eor
       1443;2023091612;    9;  32;   2;eor
       1443;2023091618;    9;  32;   1;eor
       1443;2023091706;    9;   4;   1;eor
       1443;2023091712;    9;  28;   2;eor
       1443;2023091718;    9;   4;   1;eor
       1443;2023091806;    9;  16;   3;eor
       1443;2023091812;    9;  20;   3;eor
       1443;2023091818;    9;  16;   2;eor
       1443;2023091906;    9;  20;   3;eor
       1443;2023091912;    9;  20;   3;eor
       1443;2023091918;    9;  20;   2;eor
       1443;2023092006;    9;  32;   1;eor
       1443;2023092012;    9;  20;   2;eor
       1443;2023092018;    9;   8;   1;eor
       1443;2023092106;    9;  32;   2;eor
       1443;2023092112;    9;  20;   2;eor
       1443;2023092118;    9;  20;   4;eor
       1443;2023092206;    9;  16;   3;eor
       1443;2023092212;    9;  16;   3;eor
       1443;2023092218;    9;  20;   4;eor
       1443;2023092306;    9;  16;   1;eor
       1443;2023092312;    9;  24;   2;eor
       1443;2023092318;    9;  32;   1;eor
       1443;2023092406;    9;  32;   1;eor
       1443;2023092412;    9;  32;   2;eor
       1443;2023092418;    9;   4;   2;eor
       1443;2023092506;    9;  28;   1;eor
       1443;2023092512;    9;  28;   2;eor
       1443;2023092518;    9;   4;   1;eor
       1443;2023092606;    9;  28;   1;eor
       1443;2023092612;    9;  28;   1;eor
       1443;2023092618;    9;  12;   1;eor
       1443;2023092706;    9;  28;   1;eor
       1443;2023092712;    9;  32;   2;eor
       1443;2023092718;    9;  16;   1;eor
       1443;2023092806;    9;  28;   1;eor
       1443;2023092812;    9;  20;   2;eor
       1443;2023092818;    9;  16;   1;eor
       1443;2023092906;    9;  16;   1;eor
       1443;2023092912;    9;-999;-999;eor
       1443;2023092918;    9;-999;-999;eor
