STATIONS_ID;MESS_DATUM;QN_4;N_TER;CD_TER;eor
       1443;1949050107;    5;   8;   2;eor
       1443;1949050114;    5;   8;   2;eor
       1443;1949050121;    5;   8;-999;eor
       1443;1949050207;    5;   8;   2;eor
       1443;1949050214;    5;   7;-999;eor
       1443;1949050221;    5;   8;-999;eor
       1443;1949050307;    5;   3;-999;eor
       1443;1949050314;    5;   4;   0;eor
       1443;1949050321;    5;   2;-999;eor
       1443;1949050407;    5;   7;   1;eor
       1443;1949050414;    5;   7;   0;eor
       1443;1949050421;    5;   6;   1;eor
       1443;1949050507;    5;   6;   2;eor
       1443;1949050514;    5;   7;   2;eor
       1443;1949050521;    5;   7;   2;eor
       1443;1949050607;    5;   7;   1;eor
       1443;1949050614;    5;   8;   2;eor
       1443;1949050621;    5;   7;   1;eor
       1443;1949050707;    5;   4;   1;eor
       1443;1949050714;    5;   7;   2;eor
       1443;1949050721;    5;   4;   0;eor
       1443;1949050807;    5;   6;   1;eor
       1443;1949050814;    5;   2;-999;eor
       1443;1949050821;    5;   0;-999;eor
       1443;1949050907;    5;   6;   1;eor
       1443;1949050914;    5;   7;   1;eor
       1443;1949050921;    5;   8;   2;eor
       1443;1949051007;    5;   2;   0;eor
       1443;1949051014;    5;   6;   1;eor
       1443;1949051021;    5;   1;   0;eor
       1443;1949051107;    5;   1;   1;eor
       1443;1949051114;    5;   6;   2;eor
       1443;1949051121;    5;   8;   2;eor
       1443;1949051207;    5;   8;   2;eor
       1443;1949051214;    5;   8;   2;eor
       1443;1949051221;    5;   8;   2;eor
       1443;1949051307;    5;   8;   2;eor
       1443;1949051314;    5;   8;   2;eor
       1443;1949051321;    5;   8;   2;eor
       1443;1949051407;    5;   8;   2;eor
       1443;1949051414;    5;   7;   1;eor
       1443;1949051421;    5;   3;   0;eor
       1443;1949051507;    5;   4;   1;eor
       1443;1949051514;    5;   5;   2;eor
       1443;1949051521;    5;   0;-999;eor
       1443;1949051607;    5;   2;   0;eor
       1443;1949051614;    5;   6;   1;eor
       1443;1949051621;    5;   6;   1;eor
       1443;1949051707;    5;   6;-999;eor
       1443;1949051714;    5;   8;   1;eor
       1443;1949051721;    5;   8;   2;eor
       1443;1949051807;    5;   8;   1;eor
       1443;1949051814;    5;   8;   2;eor
       1443;1949051821;    5;   8;   2;eor
       1443;1949051907;    5;   8;   2;eor
       1443;1949051914;    5;   8;   2;eor
       1443;1949051921;    5;   8;   2;eor
       1443;1949052007;    5;   8;   2;eor
       1443;1949052014;    5;   8;   1;eor
       1443;1949052021;    5;   8;   2;eor
       1443;1949052107;    5;   8;   2;eor
       1443;1949052114;    5;   8;   1;eor
       1443;1949052121;    5;   3;-999;eor
       1443;1949052207;    5;   8;   1;eor
       1443;1949052214;    5;   7;   1;eor
       1443;1949052221;    5;   8;   1;eor
       1443;1949052307;    5;   7;   1;eor
       1443;1949052314;    5;   7;   2;eor
       1443;1949052321;    5;   1;   0;eor
       1443;1949052407;    5;   2;   1;eor
       1443;1949052414;    5;   8;   2;eor
       1443;1949052421;    5;   4;   1;eor
       1443;1949052507;    5;   6;   1;eor
       1443;1949052514;    5;   8;   1;eor
       1443;1949052521;    5;   7;-999;eor
       1443;1949052607;    5;   8;   1;eor
       1443;1949052614;    5;   7;   2;eor
       1443;1949052621;    5;   2;   0;eor
       1443;1949052707;    5;   2;-999;eor
       1443;1949052714;    5;   2;-999;eor
       1443;1949052721;    5;   3;-999;eor
       1443;1949052807;    5;   2;   0;eor
       1443;1949052814;    5;   0;-999;eor
       1443;1949052821;    5;   6;   1;eor
       1443;1949052907;    5;   3;   0;eor
       1443;1949052914;    5;   8;   2;eor
       1443;1949052921;    5;   8;   2;eor
       1443;1949053007;    5;   7;   1;eor
       1443;1949053014;    5;   7;   1;eor
       1443;1949053021;    5;   6;   1;eor
       1443;1949053107;    5;   8;   2;eor
       1443;1949053114;    5;   8;   2;eor
       1443;1949053121;    5;   7;   1;eor
       1443;1949060107;    5;   7;-999;eor
       1443;1949060114;    5;   8;   1;eor
       1443;1949060121;    5;   3;   1;eor
       1443;1949060207;    5;   8;   2;eor
       1443;1949060214;    5;   8;   2;eor
       1443;1949060221;    5;   7;-999;eor
       1443;1949060307;    5;   6;-999;eor
       1443;1949060314;    5;   8;   0;eor
       1443;1949060321;    5;   8;   1;eor
       1443;1949060407;    5;   6;   1;eor
       1443;1949060414;    5;   6;   1;eor
       1443;1949060421;    5;   5;   1;eor
       1443;1949060507;    5;   8;   1;eor
       1443;1949060514;    5;   4;   1;eor
       1443;1949060521;    5;   4;   0;eor
       1443;1949060607;    5;   1;   0;eor
       1443;1949060614;    5;   2;   0;eor
       1443;1949060621;    5;   0;-999;eor
       1443;1949060707;    5;   0;-999;eor
       1443;1949060714;    5;   6;-999;eor
       1443;1949060721;    5;   6;   2;eor
       1443;1949060807;    5;   6;-999;eor
       1443;1949060814;    5;   7;   1;eor
       1443;1949060821;    5;   8;   1;eor
       1443;1949060907;    5;   7;   1;eor
       1443;1949060914;    5;   8;   2;eor
       1443;1949060921;    5;   8;   1;eor
       1443;1949061007;    5;   8;   2;eor
       1443;1949061014;    5;   7;   2;eor
       1443;1949061021;    5;   8;   2;eor
       1443;1949061107;    5;   6;   0;eor
       1443;1949061114;    5;   5;   1;eor
       1443;1949061121;    5;   8;   2;eor
       1443;1949061207;    5;   7;   1;eor
       1443;1949061214;    5;   5;   1;eor
       1443;1949061221;    5;   2;   0;eor
       1443;1949061307;    5;   0;-999;eor
       1443;1949061314;    5;   2;   0;eor
       1443;1949061321;    5;   1;   0;eor
       1443;1949061407;    5;   0;-999;eor
       1443;1949061414;    5;   2;   0;eor
       1443;1949061421;    5;   2;   0;eor
       1443;1949061507;    5;   8;   2;eor
       1443;1949061514;    5;   5;   1;eor
       1443;1949061521;    5;   6;   0;eor
       1443;1949061607;    5;   6;   1;eor
       1443;1949061614;    5;   2;   0;eor
       1443;1949061621;    5;   0;-999;eor
       1443;1949061707;    5;   7;   1;eor
       1443;1949061714;    5;   3;   0;eor
       1443;1949061721;    5;   6;   0;eor
       1443;1949061807;    5;   5;   0;eor
       1443;1949061814;    5;   2;   0;eor
       1443;1949061821;    5;   3;   0;eor
       1443;1949061907;    5;   1;   0;eor
       1443;1949061914;    5;   7;   0;eor
       1443;1949061921;    5;   3;   0;eor
       1443;1949062007;    5;   0;-999;eor
       1443;1949062014;    5;   5;   1;eor
       1443;1949062021;    5;   0;-999;eor
       1443;1949062107;    5;   0;-999;eor
       1443;1949062114;    5;   1;   0;eor
       1443;1949062121;    5;   2;   0;eor
       1443;1949062207;    5;   0;-999;eor
       1443;1949062214;    5;   2;-999;eor
       1443;1949062221;    5;   3;   0;eor
       1443;1949062307;    5;   1;   0;eor
       1443;1949062314;    5;   0;-999;eor
       1443;1949062321;    5;   2;   0;eor
       1443;1949062407;    5;   1;   0;eor
       1443;1949062414;    5;   2;-999;eor
       1443;1949062421;    5;   1;   0;eor
       1443;1949062507;    5;   1;   0;eor
       1443;1949062514;    5;   4;   0;eor
       1443;1949062521;    5;   1;   0;eor
       1443;1949062607;    5;   3;   0;eor
       1443;1949062614;    5;   4;-999;eor
       1443;1949062621;    5;   5;   0;eor
       1443;1949062707;    5;   0;-999;eor
       1443;1949062714;    5;   0;-999;eor
       1443;1949062721;    5;   6;   0;eor
       1443;1949062807;    5;   1;   0;eor
       1443;1949062814;    5;   2;   0;eor
       1443;1949062821;    5;   1;   0;eor
       1443;1949062907;    5;   1;   0;eor
       1443;1949062914;    5;   2;-999;eor
       1443;1949062921;    5;   2;-999;eor
       1443;1949063007;    5;   6;   1;eor
       1443;1949063014;    5;   6;   1;eor
       1443;1949063021;    5;   5;   0;eor
       1443;1949070107;    5;   1;   0;eor
       1443;1949070114;    5;   4;-999;eor
       1443;1949070121;    5;   1;-999;eor
       1443;1949070207;    5;   2;   0;eor
       1443;1949070214;    5;   6;   0;eor
       1443;1949070221;    5;   0;-999;eor
       1443;1949070307;    5;   0;-999;eor
       1443;1949070314;    5;   1;   0;eor
       1443;1949070321;    5;   0;-999;eor
       1443;1949070407;    5;   0;-999;eor
       1443;1949070414;    5;   1;   0;eor
       1443;1949070421;    5;   0;-999;eor
       1443;1949070507;    5;   3;   0;eor
       1443;1949070514;    5;   3;   2;eor
       1443;1949070521;    5;   2;   1;eor
       1443;1949070607;    5;   2;   0;eor
       1443;1949070614;    5;   1;   0;eor
       1443;1949070621;    5;   0;-999;eor
       1443;1949070707;    5;   2;   0;eor
       1443;1949070714;    5;   4;   0;eor
       1443;1949070721;    5;   7;   1;eor
       1443;1949070807;    5;   1;   0;eor
       1443;1949070814;    5;   4;-999;eor
       1443;1949070821;    5;   8;   0;eor
       1443;1949070907;    5;   7;   1;eor
       1443;1949070914;    5;   7;   1;eor
       1443;1949070921;    5;   2;   0;eor
       1443;1949071007;    5;   2;   0;eor
       1443;1949071014;    5;   2;   1;eor
       1443;1949071021;    5;   0;-999;eor
       1443;1949071107;    5;   0;-999;eor
       1443;1949071114;    5;   0;-999;eor
       1443;1949071121;    5;   0;-999;eor
