STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       5100;2023093006;    9;   10.2;  98.0;eor
       5100;2023093012;    9;   18.0;  56.0;eor
       5100;2023093018;    9;   14.6;  76.0;eor
       5100;2023100106;    9;    7.8;  98.0;eor
       5100;2023100112;    9;   20.8;  59.0;eor
       5100;2023100118;    9;   17.9;  73.0;eor
       5100;2023100206;    9;   10.1;  97.0;eor
       5100;2023100212;    9;   22.6;  58.0;eor
       5100;2023100218;    9;   20.1;  68.0;eor
       5100;2023100306;    9;   17.4;  72.0;eor
       5100;2023100312;    9;   16.9;  92.0;eor
       5100;2023100318;    9;   14.9;  65.0;eor
       5100;2023100406;    9;    8.1;  96.0;eor
       5100;2023100412;    9;   15.1;  65.0;eor
       5100;2023100418;    9;   13.1;  78.0;eor
       5100;2023100506;    9;    8.6;  97.0;eor
       5100;2023100512;    9;   14.4;  76.0;eor
       5100;2023100518;    9;   11.9;  82.0;eor
       5100;2023100606;    9;    7.2;  98.0;eor
       5100;2023100612;    9;   17.3;  61.0;eor
       5100;2023100618;    9;   13.3;  81.0;eor
       5100;2023100706;    9;    9.0;  95.0;eor
       5100;2023100712;    9;   17.6;  69.0;eor
       5100;2023100718;    9;   17.0;  73.0;eor
       5100;2023100806;    9;   11.4;  94.0;eor
       5100;2023100812;    9;   20.6;  62.0;eor
       5100;2023100818;    9;   17.5;  81.0;eor
       5100;2023100906;    9;   11.6;  96.0;eor
       5100;2023100912;    9;   21.1;  55.0;eor
       5100;2023100918;    9;   19.2;  53.0;eor
       5100;2023101006;    9;    9.3;  96.0;eor
       5100;2023101012;    9;   19.7;  61.0;eor
       5100;2023101018;    9;   17.5;  73.0;eor
       5100;2023101106;    9;   11.5;  91.0;eor
       5100;2023101112;    9;   23.2;  53.0;eor
       5100;2023101118;    9;   19.2;  64.0;eor
       5100;2023101206;    9;   15.2;  78.0;eor
       5100;2023101212;    9;   14.8;  91.0;eor
       5100;2023101218;    9;   16.4;  88.0;eor
       5100;2023101306;    9;   15.8;  89.0;eor
       5100;2023101312;    9;   21.5;  59.0;eor
       5100;2023101318;    9;   22.3;  50.0;eor
       5100;2023101406;    9;   13.8;  82.0;eor
       5100;2023101412;    9;   13.0;  55.0;eor
       5100;2023101418;    9;   10.0;  69.0;eor
       5100;2023101506;    9;    3.7;  97.0;eor
       5100;2023101512;    9;   11.1;  49.0;eor
       5100;2023101518;    9;    7.1;  71.0;eor
       5100;2023101606;    9;    1.1;  97.0;eor
       5100;2023101612;    9;    9.9;  65.0;eor
       5100;2023101618;    9;    7.2;  79.0;eor
       5100;2023101706;    9;    4.4;  82.0;eor
       5100;2023101712;    9;    9.6;  66.0;eor
       5100;2023101718;    9;    8.4;  70.0;eor
       5100;2023101806;    9;    5.3;  81.0;eor
       5100;2023101812;    9;   11.4;  67.0;eor
       5100;2023101818;    9;   12.3;  67.0;eor
       5100;2023101906;    9;   14.4;  91.0;eor
       5100;2023101912;    9;   16.6;  85.0;eor
       5100;2023101918;    9;   15.7;  85.0;eor
       5100;2023102006;    9;   14.0;  95.0;eor
       5100;2023102012;    9;   15.3;  92.0;eor
       5100;2023102018;    9;   12.6;  90.0;eor
       5100;2023102106;    9;   12.1;  86.0;eor
       5100;2023102112;    9;   15.1;  57.0;eor
       5100;2023102118;    9;   13.6;  61.0;eor
       5100;2023102206;    9;   10.1;  93.0;eor
       5100;2023102212;    9;   11.6;  85.0;eor
       5100;2023102218;    9;   11.3;  90.0;eor
       5100;2023102306;    9;    6.2; 100.0;eor
       5100;2023102312;    9;   10.5;  90.0;eor
       5100;2023102318;    9;   11.1;  86.0;eor
       5100;2023102406;    9;   10.6;  88.0;eor
       5100;2023102412;    9;   11.2;  88.0;eor
       5100;2023102418;    9;    9.7;  97.0;eor
       5100;2023102506;    9;    8.8;  91.0;eor
       5100;2023102512;    9;   11.4;  92.0;eor
       5100;2023102518;    9;   11.3;  95.0;eor
       5100;2023102606;    9;    7.3;  96.0;eor
       5100;2023102612;    9;    9.9;  93.0;eor
       5100;2023102618;    9;   10.2;  91.0;eor
       5100;2023102706;    9;    9.3;  96.0;eor
       5100;2023102712;    9;   12.2;  85.0;eor
       5100;2023102718;    9;   10.8;  87.0;eor
       5100;2023102806;    9;   10.1;  90.0;eor
       5100;2023102812;    9;   11.0;  86.0;eor
       5100;2023102818;    9;   11.8;  85.0;eor
       5100;2023102906;    9;   12.2;  87.0;eor
       5100;2023102912;    9;   12.7;  90.0;eor
       5100;2023102918;    9;   11.5;  85.0;eor
       5100;2023103006;    9;   11.0;  93.0;eor
       5100;2023103012;    9;   14.3;  75.0;eor
       5100;2023103018;    9;   12.3;  95.0;eor
       5100;2023103106;    9;    9.4;  86.0;eor
       5100;2023103112;    9;   11.5;  81.0;eor
       5100;2023103118;    9;   10.8;  88.0;eor
       5100;2023110106;    9;   11.3;  87.0;eor
       5100;2023110112;    9;   13.4;  72.0;eor
       5100;2023110118;    9;   10.6;  80.0;eor
       5100;2023110206;    9;   10.1;  87.0;eor
       5100;2023110212;    9;   12.6;  64.0;eor
       5100;2023110218;    9;   10.5;  76.0;eor
       5100;2023110306;    9;    7.4;  79.0;eor
       5100;2023110312;    9;    8.8;  71.0;eor
       5100;2023110318;    9;    6.7;  79.0;eor
       5100;2023110406;    9;    7.4;  87.0;eor
       5100;2023110412;    9;    7.9;  85.0;eor
       5100;2023110418;    9;   10.2;  83.0;eor
       5100;2023110506;    9;    9.7;  86.0;eor
       5100;2023110512;    9;   10.2;  87.0;eor
       5100;2023110518;    9;    9.6;  82.0;eor
       5100;2023110606;    9;    9.1;  80.0;eor
       5100;2023110612;    9;    9.5;  90.0;eor
       5100;2023110618;    9;    8.8;  86.0;eor
       5100;2023110706;    9;    7.6;  94.0;eor
       5100;2023110712;    9;   10.0;  81.0;eor
       5100;2023110718;    9;    7.9;  82.0;eor
       5100;2023110806;    9;    7.3;  86.0;eor
       5100;2023110812;    9;    9.8;  74.0;eor
       5100;2023110818;    9;    9.2;  75.0;eor
       5100;2023110906;    9;    7.1;  91.0;eor
       5100;2023110912;    9;    8.9;  90.0;eor
       5100;2023110918;    9;    8.8;  82.0;eor
       5100;2023111006;    9;    6.5;  89.0;eor
       5100;2023111012;    9;    7.6;  83.0;eor
       5100;2023111018;    9;    8.2;  80.0;eor
       5100;2023111106;    9;    5.8;  85.0;eor
       5100;2023111112;    9;    7.1;  80.0;eor
       5100;2023111118;    9;    5.4;  86.0;eor
       5100;2023111206;    9;    5.2;  92.0;eor
       5100;2023111212;    9;    7.0;  85.0;eor
       5100;2023111218;    9;    5.7;  97.0;eor
       5100;2023111306;    9;    9.9;  95.0;eor
       5100;2023111312;    9;   13.7;  92.0;eor
       5100;2023111318;    9;   13.6;  76.0;eor
       5100;2023111406;    9;   10.5;  80.0;eor
       5100;2023111412;    9;   11.2;  81.0;eor
       5100;2023111418;    9;    9.9;  89.0;eor
       5100;2023111506;    9;    9.4;  83.0;eor
       5100;2023111512;    9;    9.2;  86.0;eor
       5100;2023111518;    9;    8.4;  92.0;eor
       5100;2023111606;    9;    6.8;  95.0;eor
       5100;2023111612;    9;    7.0;  94.0;eor
       5100;2023111618;    9;    6.0;  95.0;eor
       5100;2023111706;    9;    5.7;  94.0;eor
       5100;2023111712;    9;    7.5;  81.0;eor
       5100;2023111718;    9;    5.6;  94.0;eor
       5100;2023111806;    9;    4.5;  98.0;eor
       5100;2023111812;    9;    6.8;  90.0;eor
       5100;2023111818;    9;    7.4;  94.0;eor
       5100;2023111906;    9;   12.1;  93.0;eor
       5100;2023111912;    9;   13.6;  64.0;eor
       5100;2023111918;    9;   11.1;  73.0;eor
       5100;2023112006;    9;    9.3;  87.0;eor
       5100;2023112012;    9;    9.4;  90.0;eor
       5100;2023112018;    9;    8.6;  87.0;eor
       5100;2023112106;    9;    7.3;  92.0;eor
       5100;2023112112;    9;    9.5;  79.0;eor
       5100;2023112118;    9;    8.3;  86.0;eor
       5100;2023112206;    9;    3.2;  89.0;eor
       5100;2023112212;    9;    5.4;  49.0;eor
       5100;2023112218;    9;    3.1;  65.0;eor
       5100;2023112306;    9;    3.4;  84.0;eor
       5100;2023112312;    9;    6.0;  87.0;eor
       5100;2023112318;    9;    6.8;  95.0;eor
       5100;2023112406;    9;    6.6;  88.0;eor
       5100;2023112412;    9;    5.4;  86.0;eor
       5100;2023112418;    9;    2.9;  85.0;eor
       5100;2023112506;    9;    1.1;  90.0;eor
       5100;2023112512;    9;    3.7;  88.0;eor
       5100;2023112518;    9;    3.7;  89.0;eor
       5100;2023112606;    9;    2.2;  96.0;eor
       5100;2023112612;    9;    4.4;  89.0;eor
       5100;2023112618;    9;    3.1;  87.0;eor
       5100;2023112706;    9;    1.1;  92.0;eor
       5100;2023112712;    9;    1.0;  90.0;eor
       5100;2023112718;    9;    1.4;  95.0;eor
       5100;2023112806;    9;    1.3;  81.0;eor
       5100;2023112812;    9;    1.3;  80.0;eor
       5100;2023112818;    9;   -0.5;  74.0;eor
       5100;2023112906;    9;    0.1;  93.0;eor
       5100;2023112912;    9;    2.2;  89.0;eor
       5100;2023112918;    9;    1.6;  95.0;eor
       5100;2023113006;    9;    1.7;  98.0;eor
       5100;2023113012;    9;    2.1;  96.0;eor
       5100;2023113018;    9;    1.6;  94.0;eor
       5100;2023120106;    9;    0.4;  86.0;eor
       5100;2023120112;    9;    0.1;  80.0;eor
       5100;2023120118;    9;   -0.7;  75.0;eor
       5100;2023120206;    9;   -3.5;  72.0;eor
       5100;2023120212;    9;   -2.3;  69.0;eor
       5100;2023120218;    9;   -3.9;  81.0;eor
       5100;2023120306;    9;   -4.2;  91.0;eor
       5100;2023120312;    9;   -0.2;  76.0;eor
       5100;2023120318;    9;   -0.6;  70.0;eor
       5100;2023120406;    9;   -1.6;  74.0;eor
       5100;2023120412;    9;    1.0;  89.0;eor
       5100;2023120418;    9;    3.4;  87.0;eor
       5100;2023120506;    9;    6.0;  92.0;eor
       5100;2023120512;    9;    3.8;  90.0;eor
       5100;2023120518;    9;    4.2;  94.0;eor
       5100;2023120606;    9;    3.0;  84.0;eor
       5100;2023120612;    9;    5.0;  78.0;eor
       5100;2023120618;    9;    3.1;  86.0;eor
       5100;2023120706;    9;    0.4;  92.0;eor
       5100;2023120712;    9;    2.8;  77.0;eor
       5100;2023120718;    9;    1.2;  77.0;eor
       5100;2023120806;    9;    1.8;  96.0;eor
       5100;2023120812;    9;    4.5;  98.0;eor
       5100;2023120818;    9;    6.0;  95.0;eor
       5100;2023120906;    9;    6.3;  92.0;eor
       5100;2023120912;    9;    7.2;  84.0;eor
       5100;2023120918;    9;    6.7;  94.0;eor
       5100;2023121006;    9;    8.0;  74.0;eor
       5100;2023121012;    9;    8.6;  79.0;eor
       5100;2023121018;    9;    9.1;  73.0;eor
       5100;2023121106;    9;   10.0;  77.0;eor
       5100;2023121112;    9;   10.6;  68.0;eor
       5100;2023121118;    9;    8.8;  78.0;eor
       5100;2023121206;    9;    7.0;  94.0;eor
       5100;2023121212;    9;    7.7;  96.0;eor
       5100;2023121218;    9;    9.5;  89.0;eor
       5100;2023121306;    9;    7.9;  90.0;eor
       5100;2023121312;    9;    8.3;  85.0;eor
       5100;2023121318;    9;    7.0;  90.0;eor
       5100;2023121406;    9;    6.1;  97.0;eor
       5100;2023121412;    9;    7.1;  82.0;eor
       5100;2023121418;    9;    5.1;  77.0;eor
       5100;2023121506;    9;    4.4;  97.0;eor
       5100;2023121512;    9;    5.9;  93.0;eor
       5100;2023121518;    9;    5.3;  97.0;eor
       5100;2023121606;    9;    4.3;  94.0;eor
       5100;2023121612;    9;    7.8;  66.0;eor
       5100;2023121618;    9;    4.2;  87.0;eor
       5100;2023121706;    9;    0.2;  99.0;eor
       5100;2023121712;    9;    1.5;  97.0;eor
       5100;2023121718;    9;    1.2;  99.0;eor
       5100;2023121806;    9;   -0.4;  99.0;eor
       5100;2023121812;    9;    1.5;  98.0;eor
       5100;2023121818;    9;    0.7;  97.0;eor
       5100;2023121906;    9;   -0.2;  97.0;eor
       5100;2023121912;    9;    1.9;  97.0;eor
       5100;2023121918;    9;    4.0;  95.0;eor
       5100;2023122006;    9;    3.7;  90.0;eor
       5100;2023122012;    9;    5.2;  81.0;eor
       5100;2023122018;    9;    5.7;  91.0;eor
       5100;2023122106;    9;    7.3;  95.0;eor
       5100;2023122112;    9;    8.7;  95.0;eor
       5100;2023122118;    9;    9.2;  77.0;eor
       5100;2023122206;    9;    7.0;  74.0;eor
       5100;2023122212;    9;    8.2;  91.0;eor
       5100;2023122218;    9;    8.7;  84.0;eor
       5100;2023122306;    9;    7.6;  85.0;eor
       5100;2023122312;    9;    8.3;  85.0;eor
       5100;2023122318;    9;    8.0;  93.0;eor
       5100;2023122406;    9;    8.1;  90.0;eor
       5100;2023122412;    9;    8.6;  90.0;eor
       5100;2023122418;    9;    9.3;  84.0;eor
       5100;2023122506;    9;    9.0;  90.0;eor
       5100;2023122512;    9;    9.6;  88.0;eor
       5100;2023122518;    9;    9.5;  88.0;eor
       5100;2023122606;    9;    8.5;  82.0;eor
       5100;2023122612;    9;    9.5;  82.0;eor
       5100;2023122618;    9;    7.1;  88.0;eor
       5100;2023122706;    9;    7.4;  95.0;eor
       5100;2023122712;    9;    7.8;  79.0;eor
       5100;2023122718;    9;    5.2;  84.0;eor
       5100;2023122806;    9;    8.3;  86.0;eor
       5100;2023122812;    9;    9.9;  79.0;eor
       5100;2023122818;    9;    8.4;  85.0;eor
       5100;2023122906;    9;    8.7;  81.0;eor
       5100;2023122912;    9;    8.8;  86.0;eor
       5100;2023122918;    9;    8.3;  91.0;eor
       5100;2023123006;    9;    7.7;  87.0;eor
       5100;2023123012;    9;    8.9;  81.0;eor
       5100;2023123018;    9;    8.1;  84.0;eor
       5100;2023123106;    9;    9.0;  72.0;eor
       5100;2023123112;    9;    7.8;  78.0;eor
       5100;2023123118;    9;    7.2;  76.0;eor
       5100;2024010106;    9;    6.2;  80.0;eor
       5100;2024010112;    9;    7.0;  75.0;eor
       5100;2024010118;    9;    7.0;  79.0;eor
       5100;2024010206;    9;    8.2;  93.0;eor
       5100;2024010212;    9;    8.4;  91.0;eor
       5100;2024010218;    9;    8.8;  92.0;eor
       5100;2024010306;    9;    9.4;  81.0;eor
       5100;2024010312;    9;   10.1;  77.0;eor
       5100;2024010318;    9;    7.5;  81.0;eor
       5100;2024010406;    9;    7.1;  88.0;eor
       5100;2024010412;    9;    7.7;  79.0;eor
       5100;2024010418;    9;    7.3;  84.0;eor
       5100;2024010506;    9;    7.7;  78.0;eor
       5100;2024010512;    9;    7.7;  67.0;eor
       5100;2024010518;    9;    5.7;  73.0;eor
       5100;2024010606;    9;    4.7;  89.0;eor
       5100;2024010612;    9;    5.9;  78.0;eor
       5100;2024010618;    9;    3.5;  84.0;eor
       5100;2024010706;    9;    1.7;  86.0;eor
       5100;2024010712;    9;    2.0;  86.0;eor
       5100;2024010718;    9;    0.8;  70.0;eor
       5100;2024010806;    9;   -2.1;  66.0;eor
       5100;2024010812;    9;   -2.2;  74.0;eor
       5100;2024010818;    9;   -3.8;  59.0;eor
       5100;2024010906;    9;   -7.1;  74.0;eor
       5100;2024010912;    9;   -2.4;  50.0;eor
       5100;2024010918;    9;   -3.2;  52.0;eor
       5100;2024011006;    9;   -6.4;  65.0;eor
       5100;2024011012;    9;   -1.9;  52.0;eor
       5100;2024011018;    9;   -2.4;  65.0;eor
       5100;2024011106;    9;   -6.6;  83.0;eor
       5100;2024011112;    9;   -0.8;  60.0;eor
       5100;2024011118;    9;   -0.4;  55.0;eor
       5100;2024011206;    9;   -3.4;  87.0;eor
       5100;2024011212;    9;   -2.0;  91.0;eor
       5100;2024011218;    9;   -1.3;  89.0;eor
       5100;2024011306;    9;   -1.0;  87.0;eor
       5100;2024011312;    9;   -1.1;  79.0;eor
       5100;2024011318;    9;   -1.7;  82.0;eor
       5100;2024011406;    9;   -3.0;  91.0;eor
       5100;2024011412;    9;   -3.9;  92.0;eor
       5100;2024011418;    9;   -4.4;  90.0;eor
       5100;2024011506;    9;   -2.5;  92.0;eor
       5100;2024011512;    9;   -0.4;  85.0;eor
       5100;2024011518;    9;   -0.3;  78.0;eor
       5100;2024011606;    9;   -3.3;  87.0;eor
       5100;2024011612;    9;    0.1;  72.0;eor
       5100;2024011618;    9;   -3.2;  78.0;eor
       5100;2024011706;    9;   -5.4;  89.0;eor
       5100;2024011712;    9;   -1.8;  94.0;eor
       5100;2024011718;    9;    0.0;  96.0;eor
       5100;2024011806;    9;   -1.9;  96.0;eor
       5100;2024011812;    9;   -0.2;  83.0;eor
       5100;2024011818;    9;   -2.5;  90.0;eor
       5100;2024011906;    9;   -6.6;  95.0;eor
       5100;2024011912;    9;   -2.9;  91.0;eor
       5100;2024011918;    9;   -2.4;  93.0;eor
       5100;2024012006;    9;   -7.4;  95.0;eor
       5100;2024012012;    9;   -6.6;  91.0;eor
       5100;2024012018;    9;   -6.9;  95.0;eor
       5100;2024012106;    9;   -8.3;  93.0;eor
       5100;2024012112;    9;   -0.6;  81.0;eor
       5100;2024012118;    9;    2.7;  82.0;eor
       5100;2024012206;    9;    6.8;  86.0;eor
       5100;2024012212;    9;    8.4;  93.0;eor
       5100;2024012218;    9;    7.3;  87.0;eor
       5100;2024012306;    9;    5.8;  78.0;eor
       5100;2024012312;    9;    6.7;  81.0;eor
       5100;2024012318;    9;    7.5;  82.0;eor
       5100;2024012406;    9;   11.8;  89.0;eor
       5100;2024012412;    9;   11.3;  65.0;eor
       5100;2024012418;    9;    9.0;  72.0;eor
       5100;2024012506;    9;    5.0;  91.0;eor
       5100;2024012512;    9;    8.7;  77.0;eor
       5100;2024012518;    9;    7.8;  98.0;eor
       5100;2024012606;    9;    9.1;  93.0;eor
       5100;2024012612;    9;    9.8;  95.0;eor
       5100;2024012618;    9;    5.7;  65.0;eor
       5100;2024012706;    9;   -2.4;  97.0;eor
       5100;2024012712;    9;    1.8;  85.0;eor
       5100;2024012718;    9;    2.0;  85.0;eor
       5100;2024012806;    9;   -3.5;  95.0;eor
       5100;2024012812;    9;    2.5;  77.0;eor
       5100;2024012818;    9;    3.6;  80.0;eor
       5100;2024012906;    9;    1.0;  91.0;eor
       5100;2024012912;    9;    8.7;  70.0;eor
       5100;2024012918;    9;    8.9;  77.0;eor
       5100;2024013006;    9;    2.7;  97.0;eor
       5100;2024013012;    9;    7.7;  82.0;eor
       5100;2024013018;    9;    9.5;  84.0;eor
       5100;2024013106;    9;    4.4;  87.0;eor
       5100;2024013112;    9;    6.6;  64.0;eor
       5100;2024013118;    9;    6.5;  71.0;eor
       5100;2024020106;    9;    6.6;  97.0;eor
       5100;2024020112;    9;    9.1;  76.0;eor
       5100;2024020118;    9;    5.9;  66.0;eor
       5100;2024020206;    9;    1.7;  90.0;eor
       5100;2024020212;    9;    7.3;  76.0;eor
       5100;2024020218;    9;    6.9;  84.0;eor
       5100;2024020306;    9;    6.2;  94.0;eor
       5100;2024020312;    9;    7.2;  94.0;eor
       5100;2024020318;    9;    8.6;  87.0;eor
       5100;2024020406;    9;    8.2;  90.0;eor
       5100;2024020412;    9;    8.8;  88.0;eor
       5100;2024020418;    9;    8.6;  88.0;eor
       5100;2024020506;    9;    8.3;  84.0;eor
       5100;2024020512;    9;    8.3;  78.0;eor
       5100;2024020518;    9;    6.3;  83.0;eor
       5100;2024020606;    9;    5.3;  92.0;eor
       5100;2024020612;    9;    7.4;  83.0;eor
       5100;2024020618;    9;    8.7;  79.0;eor
       5100;2024020706;    9;    8.7;  90.0;eor
       5100;2024020712;    9;    9.0;  92.0;eor
       5100;2024020718;    9;    8.6;  93.0;eor
       5100;2024020806;    9;    9.8;  96.0;eor
       5100;2024020812;    9;   11.0;  92.0;eor
       5100;2024020818;    9;   11.0;  87.0;eor
       5100;2024020906;    9;   10.2;  85.0;eor
       5100;2024020912;    9;   12.1;  76.0;eor
       5100;2024020918;    9;   11.4;  81.0;eor
       5100;2024021006;    9;    9.1;  92.0;eor
       5100;2024021012;    9;   10.0;  90.0;eor
       5100;2024021018;    9;   10.4;  85.0;eor
       5100;2024021106;    9;    6.7;  90.0;eor
       5100;2024021112;    9;    7.6;  88.0;eor
       5100;2024021118;    9;    7.8;  83.0;eor
       5100;2024021206;    9;    6.2;  89.0;eor
       5100;2024021212;    9;    8.4;  71.0;eor
