Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Apr 2, 2020;Apr 3, 2020;12,116.50;12,116.50;11,087.50
Apr 3, 2020;Apr 4, 2020;12,212.75;12,212.75;11,214.00
Apr 4, 2020;Apr 5, 2020;11,233.00;11,233.00;10,243.50
Apr 5, 2020;Apr 6, 2020;10,426.25;10,426.25;8,299.75
Apr 6, 2020;Apr 7, 2020;11,547.00;11,547.00;9,774.75
Apr 7, 2020;Apr 8, 2020;11,699.75;11,699.75;10,584.50
Apr 8, 2020;Apr 9, 2020;11,589.75;11,589.75;10,557.75
Apr 9, 2020;Apr 10, 2020;11,732.00;11,732.00;10,830.75
Apr 10, 2020;Apr 11, 2020;11,632.25;11,632.25;10,293.00
Apr 11, 2020;Apr 12, 2020;10,725.00;10,725.00;9,611.00
Apr 12, 2020;Apr 13, 2020;10,154.25;10,154.25;9,448.75
Apr 13, 2020;Apr 14, 2020;10,378.00;10,378.00;9,235.75
Apr 14, 2020;Apr 15, 2020;11,767.25;11,767.25;10,287.00
Apr 15, 2020;Apr 16, 2020;11,956.50;11,956.50;10,593.50
Apr 16, 2020;Apr 17, 2020;12,069.25;12,069.25;11,061.50
Apr 17, 2020;Apr 18, 2020;12,088.75;12,088.75;11,323.50
Apr 18, 2020;Apr 19, 2020;10,920.50;10,920.50;10,212.75
Apr 19, 2020;Apr 20, 2020;10,407.75;10,407.75;9,428.25
Apr 20, 2020;Apr 21, 2020;11,928.25;11,928.25;8,842.00
Apr 21, 2020;Apr 22, 2020;12,391.75;12,391.75;9,785.50
Apr 22, 2020;Apr 23, 2020;12,483.50;12,483.50;9,951.75
Apr 23, 2020;Apr 24, 2020;12,569.00;12,569.00;11,220.25
Apr 24, 2020;Apr 25, 2020;12,431.00;12,431.00;10,924.75
Apr 25, 2020;Apr 26, 2020;11,081.25;11,081.25;9,919.75
Apr 26, 2020;Apr 27, 2020;10,566.50;10,566.50;9,493.50
Apr 27, 2020;Apr 28, 2020;12,305.25;12,305.25;11,444.00
Apr 28, 2020;Apr 29, 2020;12,697.00;12,697.00;11,526.50
Apr 29, 2020;Apr 30, 2020;12,540.00;12,540.00;10,900.50
Apr 30, 2020;May 1, 2020;12,451.25;12,451.25;10,305.25
May 1, 2020;May 2, 2020;10,991.25;10,991.25;9,159.75
May 2, 2020;May 3, 2020;10,914.25;10,914.25;9,191.50
May 3, 2020;May 4, 2020;10,756.00;10,756.00;10,118.75
May 4, 2020;May 5, 2020;12,426.50;12,426.50;11,349.75
May 5, 2020;May 6, 2020;12,665.25;12,665.25;11,004.50
May 6, 2020;May 7, 2020;12,797.50;12,797.50;11,207.50
