Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Apr 2, 2020;Apr 3, 2020;855.00;278.00;284.00;745.00;777.00;167.25
Apr 3, 2020;Apr 4, 2020;861.25;270.50;700.25;298.50;780.50;164.00
Apr 4, 2020;Apr 5, 2020;721.75;263.00;257.50;732.00;652.00;168.00
Apr 5, 2020;Apr 6, 2020;660.50;250.00;1,348.75;777.75;522.00;169.75
Apr 6, 2020;Apr 7, 2020;861.00;232.50;1,001.75;770.50;516.50;169.25
Apr 7, 2020;Apr 8, 2020;851.00;228.25;401.25;714.00;492.50;171.25
Apr 8, 2020;Apr 9, 2020;850.25;222.50;309.00;723.00;470.50;172.00
Apr 9, 2020;Apr 10, 2020;849.25;208.50;323.50;577.75;429.25;170.75
Apr 10, 2020;Apr 11, 2020;840.00;205.50;651.50;687.75;432.00;169.50
Apr 11, 2020;Apr 12, 2020;838.50;196.50;455.00;659.00;383.75;170.00
Apr 12, 2020;Apr 13, 2020;784.00;195.75;93.00;612.50;365.75;172.75
Apr 13, 2020;Apr 14, 2020;838.50;188.00;637.00;505.25;464.25;169.00
Apr 14, 2020;Apr 15, 2020;842.75;174.50;700.50;779.75;627.25;172.25
Apr 15, 2020;Apr 16, 2020;738.75;185.50;599.75;763.25;568.25;199.00
Apr 16, 2020;Apr 17, 2020;675.25;169.50;345.75;662.00;502.25;225.75
Apr 17, 2020;Apr 18, 2020;683.50;163.50;67.50;697.75;447.00;237.00
Apr 18, 2020;Apr 19, 2020;840.00;163.25;179.50;528.25;383.50;238.50
Apr 19, 2020;Apr 20, 2020;466.50;157.25;478.75;500.75;415.75;240.25
Apr 20, 2020;Apr 21, 2020;396.50;154.25;2,240.75;845.50;516.25;252.50
Apr 21, 2020;Apr 22, 2020;672.25;156.25;1,888.50;717.75;492.00;260.75
Apr 22, 2020;Apr 23, 2020;836.50;132.50;1,670.50;861.25;463.25;265.00
Apr 23, 2020;Apr 24, 2020;832.75;138.25;522.00;826.75;451.50;264.25
Apr 24, 2020;Apr 25, 2020;834.50;131.25;696.75;809.50;447.25;263.25
Apr 25, 2020;Apr 26, 2020;843.50;127.75;301.75;859.75;419.75;266.25
Apr 26, 2020;Apr 27, 2020;841.50;119.25;215.75;857.25;391.00;264.00
Apr 27, 2020;Apr 28, 2020;842.50;128.25;145.25;716.00;438.50;264.00
Apr 28, 2020;Apr 29, 2020;839.25;131.00;823.25;347.25;478.50;224.00
Apr 29, 2020;Apr 30, 2020;832.00;132.25;1,201.00;438.50;504.25;262.00
Apr 30, 2020;May 1, 2020;782.25;152.75;1,721.75;424.25;575.25;261.50
May 1, 2020;May 2, 2020;811.75;195.50;1,328.50;503.00;610.75;260.00
May 2, 2020;May 3, 2020;785.00;214.25;1,136.50;586.25;494.00;262.50
May 3, 2020;May 4, 2020;837.25;184.00;50.25;587.00;440.25;263.00
May 4, 2020;May 5, 2020;835.50;147.25;607.25;469.50;546.75;256.25
May 5, 2020;May 6, 2020;634.50;138.25;885.50;775.25;586.00;145.50
May 6, 2020;May 7, 2020;801.00;106.00;624.25;965.75;574.50;271.00
May 7, 2020;May 8, 2020;839.25;115.75;92.00;911.25;526.00;273.75
May 8, 2020;May 9, 2020;827.25;103.50;104.00;799.50;464.50;279.00
May 9, 2020;May 10, 2020;815.00;119.75;339.00;467.50;447.00;282.25
May 10, 2020;May 11, 2020;711.00;119.00;332.75;517.25;409.00;283.25
May 11, 2020;May 12, 2020;572.00;172.75;2,423.50;478.50;638.75;276.75
May 12, 2020;May 13, 2020;811.25;221.75;597.00;923.75;650.75;272.00
May 13, 2020;May 14, 2020;837.50;235.25;591.75;789.50;622.25;283.75
May 14, 2020;May 15, 2020;804.25;172.25;1,136.00;833.00;639.50;294.25
May 15, 2020;May 16, 2020;793.00;139.00;987.25;986.75;508.50;305.25
May 16, 2020;May 17, 2020;736.50;134.25;483.50;911.50;447.00;306.25
May 17, 2020;May 18, 2020;661.00;129.00;349.00;974.75;438.50;307.25
May 18, 2020;May 19, 2020;281.25;116.25;224.25;929.00;446.50;308.00
May 19, 2020;May 20, 2020;315.25;88.00;439.75;942.50;399.75;304.75
May 20, 2020;May 21, 2020;323.25;101.25;341.00;873.50;392.25;304.75
May 21, 2020;May 22, 2020;335.25;95.25;225.00;866.00;397.50;305.50
May 22, 2020;May 23, 2020;480.50;87.75;723.25;535.00;376.00;303.75
May 23, 2020;May 24, 2020;837.50;98.25;1,002.75;420.25;436.75;309.25
May 24, 2020;May 25, 2020;831.25;107.25;522.75;588.25;431.00;306.75
May 25, 2020;May 26, 2020;785.00;119.00;451.75;640.00;448.25;305.50
May 26, 2020;May 27, 2020;534.25;108.50;379.50;983.75;429.75;305.00
May 27, 2020;May 28, 2020;415.00;86.00;279.25;936.75;415.00;305.75
May 28, 2020;May 29, 2020;765.25;87.25;944.50;1,021.50;399.00;306.00
May 29, 2020;May 30, 2020;813.00;76.00;711.75;1,006.00;402.50;308.00
May 30, 2020;May 31, 2020;844.25;66.25;792.75;974.50;337.50;306.00
May 31, 2020;Jun 1, 2020;833.50;71.25;563.75;963.50;350.00;311.75
Jun 1, 2020;Jun 2, 2020;833.00;61.00;797.00;993.75;369.50;307.50
Jun 2, 2020;Jun 3, 2020;823.00;69.00;324.25;930.50;352.25;305.50
Jun 3, 2020;Jun 4, 2020;781.25;72.25;298.00;764.75;328.50;304.50
Jun 4, 2020;Jun 5, 2020;651.75;107.50;475.50;265.50;447.50;306.50
Jun 5, 2020;Jun 6, 2020;800.50;113.75;1,634.00;314.75;537.00;313.50
Jun 6, 2020;Jun 7, 2020;847.25;122.25;1,505.50;674.00;415.00;309.75
Jun 7, 2020;Jun 8, 2020;844.75;115.75;630.75;591.75;373.25;312.25
Jun 8, 2020;Jun 9, 2020;798.00;164.00;213.50;713.25;446.75;311.00
Jun 9, 2020;Jun 10, 2020;736.00;143.00;581.25;501.00;483.50;309.75
Jun 10, 2020;Jun 11, 2020;754.50;122.25;192.75;444.00;488.00;306.00
Jun 11, 2020;Jun 12, 2020;824.25;105.50;393.75;658.75;440.00;309.25
Jun 12, 2020;Jun 13, 2020;798.50;100.25;670.25;592.00;442.50;305.00
Jun 13, 2020;Jun 14, 2020;354.00;159.75;306.50;682.50;347.25;308.00
Jun 14, 2020;Jun 15, 2020;840.75;125.50;664.25;423.50;331.00;308.00
Jun 15, 2020;Jun 16, 2020;661.50;132.75;163.50;659.50;423.75;307.50
Jun 16, 2020;Jun 17, 2020;726.75;106.75;223.50;730.25;396.75;307.75
Jun 17, 2020;Jun 18, 2020;790.75;122.00;390.00;322.00;454.25;309.00
Jun 18, 2020;Jun 19, 2020;791.50;203.25;327.50;685.75;453.75;309.25
