STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       5100;2023093006;    9;   8;   1;eor
       5100;2023093012;    9;  20;   2;eor
       5100;2023093018;    9;  12;   2;eor
       5100;2023100106;    9;   4;   1;eor
       5100;2023100112;    9;  20;   2;eor
       5100;2023100118;    9;  16;   1;eor
       5100;2023100206;    9;  24;   1;eor
       5100;2023100212;    9;  24;   2;eor
       5100;2023100218;    9;  16;   2;eor
       5100;2023100306;    9;  20;   3;eor
       5100;2023100312;    9;  20;   4;eor
       5100;2023100318;    9;  24;   3;eor
       5100;2023100406;    9;  20;   2;eor
       5100;2023100412;    9;  24;   2;eor
       5100;2023100418;    9;  20;   1;eor
       5100;2023100506;    9;  16;   2;eor
       5100;2023100512;    9;  24;   2;eor
       5100;2023100518;    9;  16;   1;eor
       5100;2023100606;    9;  12;   1;eor
       5100;2023100612;    9;  20;   3;eor
       5100;2023100618;    9;  16;   1;eor
       5100;2023100706;    9;  16;   2;eor
       5100;2023100712;    9;  20;   4;eor
       5100;2023100718;    9;  20;   3;eor
       5100;2023100806;    9;  16;   1;eor
       5100;2023100812;    9;  20;   3;eor
       5100;2023100818;    9;  20;   2;eor
       5100;2023100906;    9;  20;   3;eor
       5100;2023100912;    9;  20;   3;eor
       5100;2023100918;    9;  24;   3;eor
       5100;2023101006;    9;  32;   1;eor
       5100;2023101012;    9;  20;   2;eor
       5100;2023101018;    9;  20;   1;eor
       5100;2023101106;    9;  20;   2;eor
       5100;2023101112;    9;  20;   3;eor
       5100;2023101118;    9;  16;   2;eor
       5100;2023101206;    9;  24;   2;eor
       5100;2023101212;    9;  20;   2;eor
       5100;2023101218;    9;  20;   2;eor
       5100;2023101306;    9;  20;   3;eor
       5100;2023101312;    9;  20;   4;eor
       5100;2023101318;    9;  16;   4;eor
       5100;2023101406;    9;  28;   3;eor
       5100;2023101412;    9;  24;   3;eor
       5100;2023101418;    9;  28;   2;eor
       5100;2023101506;    9;  20;   2;eor
       5100;2023101512;    9;  28;   3;eor
       5100;2023101518;    9;  24;   1;eor
       5100;2023101606;    9;   4;   1;eor
       5100;2023101612;    9;   4;   3;eor
       5100;2023101618;    9;   4;   3;eor
       5100;2023101706;    9;   4;   4;eor
       5100;2023101712;    9;   4;   3;eor
       5100;2023101718;    9;   4;   3;eor
       5100;2023101806;    9;   4;   3;eor
       5100;2023101812;    9;   4;   1;eor
       5100;2023101818;    9;  32;   1;eor
       5100;2023101906;    9;  16;   3;eor
       5100;2023101912;    9;  16;   3;eor
       5100;2023101918;    9;  12;   2;eor
       5100;2023102006;    9;  32;   2;eor
       5100;2023102012;    9;  20;   5;eor
       5100;2023102018;    9;  16;   3;eor
       5100;2023102106;    9;  20;   5;eor
       5100;2023102112;    9;  20;   6;eor
       5100;2023102118;    9;  16;   4;eor
       5100;2023102206;    9;  16;   4;eor
       5100;2023102212;    9;  20;   4;eor
       5100;2023102218;    9;  16;   2;eor
       5100;2023102306;    9;   4;   2;eor
       5100;2023102312;    9;   4;   4;eor
       5100;2023102318;    9;   8;   2;eor
       5100;2023102406;    9;  16;   2;eor
       5100;2023102412;    9;  24;   4;eor
       5100;2023102418;    9;  20;   2;eor
       5100;2023102506;    9;  12;   2;eor
       5100;2023102512;    9;  16;   4;eor
       5100;2023102518;    9;  20;   4;eor
       5100;2023102606;    9;   4;   1;eor
       5100;2023102612;    9;  32;   1;eor
       5100;2023102618;    9;  16;   2;eor
       5100;2023102706;    9;  28;   1;eor
       5100;2023102712;    9;  20;   4;eor
       5100;2023102718;    9;  20;   2;eor
       5100;2023102806;    9;  16;   5;eor
       5100;2023102812;    9;  16;   4;eor
       5100;2023102818;    9;  16;   5;eor
       5100;2023102906;    9;  16;   5;eor
       5100;2023102912;    9;  16;   4;eor
       5100;2023102918;    9;  16;   5;eor
       5100;2023103006;    9;  20;   3;eor
       5100;2023103012;    9;  16;   2;eor
       5100;2023103018;    9;  16;   3;eor
       5100;2023103106;    9;  20;   4;eor
       5100;2023103112;    9;  20;   3;eor
       5100;2023103118;    9;  20;   3;eor
       5100;2023110106;    9;  16;   4;eor
       5100;2023110112;    9;  16;   4;eor
       5100;2023110118;    9;  20;   4;eor
       5100;2023110206;    9;  16;   6;eor
       5100;2023110212;    9;  16;   6;eor
       5100;2023110218;    9;  16;   5;eor
       5100;2023110306;    9;  20;   4;eor
       5100;2023110312;    9;  20;   3;eor
       5100;2023110318;    9;  20;   3;eor
       5100;2023110406;    9;  16;   5;eor
       5100;2023110412;    9;  16;   5;eor
       5100;2023110418;    9;  16;   6;eor
       5100;2023110506;    9;  16;   6;eor
       5100;2023110512;    9;  20;   4;eor
       5100;2023110518;    9;  20;   4;eor
       5100;2023110606;    9;  20;   4;eor
       5100;2023110612;    9;  20;   3;eor
       5100;2023110618;    9;  20;   4;eor
       5100;2023110706;    9;  16;   4;eor
       5100;2023110712;    9;  20;   4;eor
       5100;2023110718;    9;  20;   4;eor
       5100;2023110806;    9;  20;   4;eor
       5100;2023110812;    9;  20;   4;eor
       5100;2023110818;    9;  16;   4;eor
       5100;2023110906;    9;  20;   4;eor
       5100;2023110912;    9;  20;   4;eor
       5100;2023110918;    9;  16;   6;eor
       5100;2023111006;    9;  20;   4;eor
       5100;2023111012;    9;  20;   5;eor
       5100;2023111018;    9;  16;   5;eor
       5100;2023111106;    9;  24;   3;eor
       5100;2023111112;    9;  20;   4;eor
       5100;2023111118;    9;  20;   2;eor
       5100;2023111206;    9;  16;   1;eor
       5100;2023111212;    9;  24;   1;eor
       5100;2023111218;    9;  16;   2;eor
       5100;2023111306;    9;  20;   3;eor
       5100;2023111312;    9;  20;   5;eor
       5100;2023111318;    9;  24;   5;eor
       5100;2023111406;    9;  20;   4;eor
       5100;2023111412;    9;  20;   5;eor
       5100;2023111418;    9;  20;   4;eor
       5100;2023111506;    9;  20;   4;eor
       5100;2023111512;    9;  24;   4;eor
       5100;2023111518;    9;  20;   4;eor
       5100;2023111606;    9;  20;   2;eor
       5100;2023111612;    9;   8;   2;eor
       5100;2023111618;    9;   4;   4;eor
       5100;2023111706;    9;  20;   2;eor
       5100;2023111712;    9;  20;   3;eor
       5100;2023111718;    9;  20;   2;eor
       5100;2023111806;    9;  20;   1;eor
       5100;2023111812;    9;  20;   2;eor
       5100;2023111818;    9;  16;   5;eor
       5100;2023111906;    9;  20;   4;eor
       5100;2023111912;    9;  20;   4;eor
       5100;2023111918;    9;  20;   4;eor
       5100;2023112006;    9;  20;   4;eor
       5100;2023112012;    9;  20;   4;eor
       5100;2023112018;    9;  20;   4;eor
       5100;2023112106;    9;   4;   2;eor
       5100;2023112112;    9;   4;   2;eor
       5100;2023112118;    9;   4;   2;eor
       5100;2023112206;    9;   4;   2;eor
       5100;2023112212;    9;   4;   2;eor
       5100;2023112218;    9;  16;   1;eor
       5100;2023112306;    9;  20;   3;eor
       5100;2023112312;    9;  20;   3;eor
       5100;2023112318;    9;  20;   4;eor
       5100;2023112406;    9;  24;   3;eor
       5100;2023112412;    9;  24;   3;eor
       5100;2023112418;    9;  28;   2;eor
       5100;2023112506;    9;  20;   2;eor
       5100;2023112512;    9;  24;   2;eor
       5100;2023112518;    9;  24;   2;eor
       5100;2023112606;    9;  20;   2;eor
       5100;2023112612;    9;  20;   3;eor
       5100;2023112618;    9;  20;   3;eor
       5100;2023112706;    9;  16;   4;eor
       5100;2023112712;    9;  20;   5;eor
       5100;2023112718;    9;  20;   4;eor
       5100;2023112806;    9;  32;   3;eor
       5100;2023112812;    9;  32;   2;eor
       5100;2023112818;    9;  24;   2;eor
       5100;2023112906;    9;  20;   3;eor
       5100;2023112912;    9;  20;   4;eor
       5100;2023112918;    9;  16;   2;eor
       5100;2023113006;    9;  16;   1;eor
       5100;2023113012;    9;   4;   1;eor
       5100;2023113018;    9;   8;   2;eor
       5100;2023120106;    9;   4;   3;eor
       5100;2023120112;    9;   4;   3;eor
       5100;2023120118;    9;   4;   3;eor
       5100;2023120206;    9;   4;   4;eor
       5100;2023120212;    9;   4;   1;eor
       5100;2023120218;    9;  16;   1;eor
       5100;2023120306;    9;  16;   1;eor
       5100;2023120312;    9;  20;   3;eor
       5100;2023120318;    9;  16;   3;eor
       5100;2023120406;    9;   4;   2;eor
       5100;2023120412;    9;  16;   3;eor
       5100;2023120418;    9;  16;   4;eor
       5100;2023120506;    9;  16;   5;eor
       5100;2023120512;    9;  20;   5;eor
       5100;2023120518;    9;  20;   3;eor
       5100;2023120606;    9;  24;   2;eor
       5100;2023120612;    9;  24;   2;eor
       5100;2023120618;    9;  20;   2;eor
       5100;2023120706;    9;  16;   2;eor
       5100;2023120712;    9;  32;   2;eor
       5100;2023120718;    9;   4;   2;eor
       5100;2023120806;    9;  20;   2;eor
       5100;2023120812;    9;  20;   2;eor
       5100;2023120818;    9;  20;   2;eor
       5100;2023120906;    9;  16;   2;eor
       5100;2023120912;    9;  16;   5;eor
       5100;2023120918;    9;  20;   3;eor
       5100;2023121006;    9;  20;   4;eor
       5100;2023121012;    9;  20;   4;eor
       5100;2023121018;    9;  16;   5;eor
       5100;2023121106;    9;  20;   5;eor
       5100;2023121112;    9;  24;   4;eor
       5100;2023121118;    9;  20;   3;eor
       5100;2023121206;    9;   4;   1;eor
       5100;2023121212;    9;  20;   1;eor
       5100;2023121218;    9;  20;   3;eor
       5100;2023121306;    9;  20;   3;eor
       5100;2023121312;    9;  20;   2;eor
       5100;2023121318;    9;  20;   2;eor
       5100;2023121406;    9;  20;   1;eor
       5100;2023121412;    9;  28;   2;eor
       5100;2023121418;    9;  28;   2;eor
       5100;2023121506;    9;  20;   2;eor
       5100;2023121512;    9;  20;   2;eor
       5100;2023121518;    9;  20;   2;eor
       5100;2023121606;    9;  20;   1;eor
       5100;2023121612;    9;  20;   2;eor
       5100;2023121618;    9;  20;   2;eor
       5100;2023121706;    9;  20;   1;eor
       5100;2023121712;    9;  20;   1;eor
       5100;2023121718;    9;  20;   2;eor
       5100;2023121806;    9;  20;   2;eor
       5100;2023121812;    9;  20;   2;eor
       5100;2023121818;    9;  16;   3;eor
       5100;2023121906;    9;  20;   4;eor
       5100;2023121912;    9;  20;   4;eor
       5100;2023121918;    9;  20;   5;eor
       5100;2023122006;    9;  20;   2;eor
       5100;2023122012;    9;  20;   4;eor
       5100;2023122018;    9;  20;   4;eor
       5100;2023122106;    9;  20;   5;eor
       5100;2023122112;    9;  20;   5;eor
       5100;2023122118;    9;  24;   4;eor
       5100;2023122206;    9;  24;   4;eor
       5100;2023122212;    9;  20;   4;eor
       5100;2023122218;    9;  24;   4;eor
       5100;2023122306;    9;  24;   5;eor
       5100;2023122312;    9;  24;   5;eor
       5100;2023122318;    9;  20;   4;eor
       5100;2023122406;    9;  20;   4;eor
       5100;2023122412;    9;  20;   5;eor
       5100;2023122418;    9;  20;   5;eor
       5100;2023122506;    9;  20;   5;eor
       5100;2023122512;    9;  20;   5;eor
       5100;2023122518;    9;  20;   5;eor
       5100;2023122606;    9;  20;   5;eor
       5100;2023122612;    9;  20;   4;eor
       5100;2023122618;    9;  20;   3;eor
       5100;2023122706;    9;  20;   3;eor
       5100;2023122712;    9;  20;   3;eor
       5100;2023122718;    9;  20;   2;eor
       5100;2023122806;    9;  20;   5;eor
       5100;2023122812;    9;  20;   4;eor
       5100;2023122818;    9;  20;   5;eor
       5100;2023122906;    9;  20;   5;eor
       5100;2023122912;    9;  20;   5;eor
       5100;2023122918;    9;  20;   5;eor
       5100;2023123006;    9;  20;   4;eor
       5100;2023123012;    9;  20;   4;eor
       5100;2023123018;    9;  20;   2;eor
       5100;2023123106;    9;  16;   5;eor
       5100;2023123112;    9;  20;   5;eor
       5100;2023123118;    9;  20;   5;eor
       5100;2024010106;    9;  20;   5;eor
       5100;2024010112;    9;  20;   4;eor
       5100;2024010118;    9;  20;   4;eor
       5100;2024010206;    9;  20;   6;eor
       5100;2024010212;    9;  20;   6;eor
       5100;2024010218;    9;  20;   6;eor
       5100;2024010306;    9;  20;   5;eor
       5100;2024010312;    9;  20;   5;eor
       5100;2024010318;    9;  24;   5;eor
       5100;2024010406;    9;  20;   4;eor
       5100;2024010412;    9;  20;   4;eor
       5100;2024010418;    9;  16;   2;eor
       5100;2024010506;    9;  16;   4;eor
       5100;2024010512;    9;  20;   5;eor
       5100;2024010518;    9;  20;   3;eor
       5100;2024010606;    9;  20;   2;eor
       5100;2024010612;    9;  24;   2;eor
       5100;2024010618;    9;  32;   2;eor
       5100;2024010706;    9;   4;   3;eor
       5100;2024010712;    9;   4;   4;eor
       5100;2024010718;    9;   4;   4;eor
       5100;2024010806;    9;   4;   4;eor
       5100;2024010812;    9;   4;   4;eor
       5100;2024010818;    9;   4;   3;eor
       5100;2024010906;    9;   4;   4;eor
       5100;2024010912;    9;   4;   3;eor
       5100;2024010918;    9;   4;   3;eor
       5100;2024011006;    9;   4;   3;eor
       5100;2024011012;    9;   4;   3;eor
       5100;2024011018;    9;   4;   3;eor
       5100;2024011106;    9;   4;   2;eor
       5100;2024011112;    9;   4;   3;eor
       5100;2024011118;    9;   4;   3;eor
       5100;2024011206;    9;   4;   3;eor
       5100;2024011212;    9;   4;   2;eor
       5100;2024011218;    9;   4;   2;eor
       5100;2024011306;    9;  20;   1;eor
       5100;2024011312;    9;  20;   3;eor
       5100;2024011318;    9;  20;   3;eor
       5100;2024011406;    9;  20;   3;eor
       5100;2024011412;    9;  20;   2;eor
       5100;2024011418;    9;  20;   3;eor
       5100;2024011506;    9;  20;   3;eor
       5100;2024011512;    9;  20;   3;eor
       5100;2024011518;    9;  24;   3;eor
       5100;2024011606;    9;  16;   2;eor
       5100;2024011612;    9;  20;   2;eor
       5100;2024011618;    9;  16;   2;eor
       5100;2024011706;    9;  32;   2;eor
       5100;2024011712;    9;  32;   2;eor
       5100;2024011718;    9;  32;   2;eor
       5100;2024011806;    9;   4;   4;eor
       5100;2024011812;    9;   4;   2;eor
       5100;2024011818;    9;  24;   1;eor
       5100;2024011906;    9;  16;   1;eor
       5100;2024011912;    9;  20;   1;eor
       5100;2024011918;    9;  20;   2;eor
       5100;2024012006;    9;   8;   1;eor
       5100;2024012012;    9;  16;   1;eor
       5100;2024012018;    9;   4;   1;eor
       5100;2024012106;    9;  24;   1;eor
       5100;2024012112;    9;  20;   3;eor
       5100;2024012118;    9;  20;   3;eor
       5100;2024012206;    9;  20;   6;eor
       5100;2024012212;    9;  20;   5;eor
       5100;2024012218;    9;  20;   4;eor
       5100;2024012306;    9;  24;   4;eor
       5100;2024012312;    9;  20;   4;eor
       5100;2024012318;    9;  16;   6;eor
       5100;2024012406;    9;  20;   6;eor
       5100;2024012412;    9;  24;   4;eor
       5100;2024012418;    9;  20;   4;eor
       5100;2024012506;    9;  20;   2;eor
       5100;2024012512;    9;  20;   2;eor
       5100;2024012518;    9;  20;   3;eor
       5100;2024012606;    9;  16;   4;eor
       5100;2024012612;    9;  20;   4;eor
       5100;2024012618;    9;  28;   2;eor
       5100;2024012706;    9;  16;   1;eor
       5100;2024012712;    9;  32;   1;eor
       5100;2024012718;    9;   4;   2;eor
       5100;2024012806;    9;   8;   1;eor
       5100;2024012812;    9;  32;   1;eor
       5100;2024012818;    9;   4;   2;eor
       5100;2024012906;    9;  16;   1;eor
       5100;2024012912;    9;  20;   2;eor
       5100;2024012918;    9;  16;   2;eor
       5100;2024013006;    9;  20;   2;eor
       5100;2024013012;    9;  20;   3;eor
       5100;2024013018;    9;  16;   2;eor
       5100;2024013106;    9;  16;   2;eor
       5100;2024013112;    9;  24;   3;eor
       5100;2024013118;    9;  20;   3;eor
       5100;2024020106;    9;  20;   3;eor
       5100;2024020112;    9;  28;   2;eor
       5100;2024020118;    9;  32;   1;eor
       5100;2024020206;    9;  20;   2;eor
       5100;2024020212;    9;  20;   4;eor
       5100;2024020218;    9;  20;   4;eor
       5100;2024020306;    9;  20;   4;eor
       5100;2024020312;    9;  20;   4;eor
       5100;2024020318;    9;  20;   4;eor
       5100;2024020406;    9;  20;   4;eor
       5100;2024020412;    9;  20;   4;eor
       5100;2024020418;    9;  20;   4;eor
       5100;2024020506;    9;  20;   4;eor
       5100;2024020512;    9;  20;   4;eor
       5100;2024020518;    9;  20;   5;eor
       5100;2024020606;    9;  20;   5;eor
