Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2019;Jan 2, 2019;1,097,118.75;277,423.25;53,621.00
Jan 2, 2019;Jan 3, 2019;1,388,494.25;667,815.25;36,221.25
Jan 3, 2019;Jan 4, 2019;1,466,308.25;1,149,137.00;24,179.75
Jan 4, 2019;Jan 5, 2019;1,486,876.25;946,013.50;25,817.75
Jan 5, 2019;Jan 6, 2019;1,315,755.00;696,985.25;48,002.75
Jan 6, 2019;Jan 7, 2019;1,207,037.75;941,073.50;29,471.00
Jan 7, 2019;Jan 8, 2019;1,525,289.00;1,073,074.50;32,610.50
Jan 8, 2019;Jan 9, 2019;1,605,658.75;628,103.00;46,107.75
Jan 9, 2019;Jan 10, 2019;1,625,614.00;834,322.00;31,925.25
Jan 10, 2019;Jan 11, 2019;1,583,216.00;1,388,650.75;29,461.75
Jan 11, 2019;Jan 12, 2019;1,609,084.00;1,108,308.25;31,769.00
Jan 12, 2019;Jan 13, 2019;1,371,654.25;643,046.50;31,288.00
Jan 13, 2019;Jan 14, 2019;1,280,320.50;372,295.50;37,548.75
Jan 14, 2019;Jan 15, 2019;1,566,660.25;699,586.50;30,738.50
Jan 15, 2019;Jan 16, 2019;1,607,072.25;762,045.25;39,886.00
Jan 16, 2019;Jan 17, 2019;1,607,242.00;844,305.25;40,923.50
Jan 17, 2019;Jan 18, 2019;1,624,894.00;855,285.75;38,855.25
Jan 18, 2019;Jan 19, 2019;1,561,664.00;1,258,804.25;16,942.25
Jan 19, 2019;Jan 20, 2019;1,362,419.00;1,162,977.75;37,969.00
Jan 20, 2019;Jan 21, 2019;1,279,862.75;1,163,686.75;21,662.00
Jan 21, 2019;Jan 22, 2019;1,600,868.75;1,415,955.50;20,305.00
Jan 22, 2019;Jan 23, 2019;1,655,450.75;1,323,625.50;34,279.75
Jan 23, 2019;Jan 24, 2019;1,649,947.50;1,453,775.00;32,949.75
Jan 24, 2019;Jan 25, 2019;1,634,421.25;1,567,979.00;42,179.25
Jan 25, 2019;Jan 26, 2019;1,624,279.00;1,425,585.75;35,703.50
Jan 26, 2019;Jan 27, 2019;1,414,847.50;899,026.25;34,669.00
Jan 27, 2019;Jan 28, 2019;1,274,026.00;660,098.00;55,528.75
Jan 28, 2019;Jan 29, 2019;1,586,613.75;1,065,575.25;25,361.00
Jan 29, 2019;Jan 30, 2019;1,603,332.50;1,217,703.75;30,163.75
Jan 30, 2019;Jan 31, 2019;1,622,324.00;1,139,435.50;40,542.50
Jan 31, 2019;Feb 1, 2019;1,599,507.25;1,297,730.50;29,457.00
Feb 1, 2019;Feb 2, 2019;1,599,759.50;1,221,186.00;35,252.50
Feb 2, 2019;Feb 3, 2019;1,368,301.75;1,233,357.25;21,376.00
Feb 3, 2019;Feb 4, 2019;1,285,850.25;977,609.75;37,119.75
Feb 4, 2019;Feb 5, 2019;1,583,685.50;1,043,681.00;29,645.50
Feb 5, 2019;Feb 6, 2019;1,619,422.75;1,222,520.00;29,474.00
Feb 6, 2019;Feb 7, 2019;1,614,883.25;1,192,159.25;25,947.75
Feb 7, 2019;Feb 8, 2019;1,624,802.00;995,999.25;26,999.00
Feb 8, 2019;Feb 9, 2019;1,586,558.25;755,980.75;35,426.50
Feb 9, 2019;Feb 10, 2019;1,368,687.75;382,399.50;57,119.25
Feb 10, 2019;Feb 11, 2019;1,249,292.00;435,944.00;39,901.00
Feb 11, 2019;Feb 12, 2019;1,568,650.75;729,858.00;24,835.00
Feb 12, 2019;Feb 13, 2019;1,586,964.75;1,067,916.50;41,735.50
Feb 13, 2019;Feb 14, 2019;1,595,027.00;1,050,621.75;35,564.50
Feb 14, 2019;Feb 15, 2019;1,562,814.25;1,270,964.75;31,372.50
Feb 15, 2019;Feb 16, 2019;1,529,516.50;1,196,191.25;31,184.50
Feb 16, 2019;Feb 17, 2019;1,313,894.25;799,296.75;31,300.50
Feb 17, 2019;Feb 18, 2019;1,201,513.00;864,259.00;33,880.75
Feb 18, 2019;Feb 19, 2019;1,484,341.00;1,095,570.75;31,596.75
Feb 19, 2019;Feb 20, 2019;1,563,087.25;912,622.25;38,339.75
Feb 20, 2019;Feb 21, 2019;1,546,310.00;1,097,484.25;37,793.75
Feb 21, 2019;Feb 22, 2019;1,543,856.00;1,062,296.25;34,676.25
Feb 22, 2019;Feb 23, 2019;1,511,173.50;1,224,518.25;24,143.00
Feb 23, 2019;Feb 24, 2019;1,304,202.75;959,662.50;24,411.25
Feb 24, 2019;Feb 25, 2019;1,185,734.00;952,380.50;39,135.50
Feb 25, 2019;Feb 26, 2019;1,470,949.00;1,217,373.75;25,214.25
Feb 26, 2019;Feb 27, 2019;1,485,626.75;1,268,528.75;27,193.25
Feb 27, 2019;Feb 28, 2019;1,501,718.75;1,172,785.50;34,277.00
Feb 28, 2019;Mar 1, 2019;1,496,391.75;931,714.50;46,379.25
Mar 1, 2019;Mar 2, 2019;1,491,759.00;1,245,130.25;19,198.00
Mar 2, 2019;Mar 3, 2019;1,291,146.75;999,248.75;15,441.00
Mar 3, 2019;Mar 4, 2019;1,195,167.50;306,766.50;54,736.50
