Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2019;Feb 1, 2019;46,437,859.25;30,939,429.75;1,066,140.25
Feb 1, 2019;Mar 1, 2019;41,353,014.25;28,334,882.00;931,294.50
Mar 1, 2019;Apr 1, 2019;43,663,537.00;24,388,874.50;1,056,127.75
Apr 1, 2019;May 1, 2019;39,473,975.75;25,473,081.25;939,943.50
May 1, 2019;Jun 1, 2019;40,624,402.25;27,405,937.25;858,889.50
Jun 1, 2019;Jul 1, 2019;38,117,397.75;25,072,506.25;922,993.75
Jul 1, 2019;Aug 1, 2019;40,935,719.75;28,654,940.75;730,713.25
Aug 1, 2019;Sep 1, 2019;39,554,707.50;28,363,594.75;812,474.25
Sep 1, 2019;Oct 1, 2019;39,406,178.25;26,312,938.50;852,978.25
Oct 1, 2019;Nov 1, 2019;42,365,349.50;28,250,969.75;926,142.50
Nov 1, 2019;Dec 1, 2019;43,016,014.75;31,877,966.50;840,523.50
Dec 1, 2019;Jan 1, 2020;42,418,009.25;26,270,204.75;1,035,360.50
Jan 1, 2020;Feb 1, 2020;45,324,095.25;28,279,479.75;1,025,916.75
Feb 1, 2020;Mar 1, 2020;43,129,401.75;21,221,464.00;1,092,430.50
Mar 1, 2020;Apr 1, 2020;42,839,019.75;24,569,471.50;1,135,206.25
Apr 1, 2020;May 1, 2020;36,524,902.25;21,418,038.50;1,295,818.00
May 1, 2020;Jun 1, 2020;37,109,308.50;23,251,349.75;1,147,990.75
Jun 1, 2020;Jul 1, 2020;36,447,182.00;24,340,017.75;863,688.50
Jul 1, 2020;Aug 1, 2020;38,456,172.00;25,167,159.75;976,269.75
Aug 1, 2020;Sep 1, 2020;38,505,891.00;26,347,558.25;1,046,883.25
Sep 1, 2020;Oct 1, 2020;38,676,063.75;27,723,970.25;992,752.00
Oct 1, 2020;Nov 1, 2020;42,703,147.75;26,654,600.25;1,074,036.25
Nov 1, 2020;Dec 1, 2020;42,717,181.50;29,976,057.00;926,192.00
Dec 1, 2020;Jan 1, 2021;42,957,836.00;30,631,670.50;1,041,342.25
Jan 1, 2021;Feb 1, 2021;45,631,444.00;33,555,673.75;1,003,645.25
Feb 1, 2021;Mar 1, 2021;41,758,874.75;28,582,192.00;831,421.75
Mar 1, 2021;Apr 1, 2021;44,879,858.75;29,342,359.50;968,583.00
Apr 1, 2021;May 1, 2021;41,054,957.50;26,115,286.25;872,171.25
May 1, 2021;Jun 1, 2021;40,228,477.75;24,278,593.25;827,983.00
Jun 1, 2021;Jul 1, 2021;39,479,203.75;27,948,875.00;757,439.75
Jul 1, 2021;Aug 1, 2021;40,629,258.75;28,453,716.25;659,605.00
Aug 1, 2021;Sep 1, 2021;39,395,247.00;26,047,870.75;700,636.25
Sep 1, 2021;Oct 1, 2021;39,510,249.25;28,901,485.50;856,048.00
Oct 1, 2021;Nov 1, 2021;43,221,231.50;26,942,303.75;973,461.50
Nov 1, 2021;Dec 1, 2021;43,894,752.50;32,463,407.50;1,004,755.00
Dec 1, 2021;Jan 1, 2022;44,903,752.00;31,919,417.75;1,055,872.50
Jan 1, 2022;Feb 1, 2022;46,287,079.00;29,290,319.00;1,035,700.00
Feb 1, 2022;Mar 1, 2022;42,317,899.00;19,434,830.50;1,010,048.25
Mar 1, 2022;Apr 1, 2022;43,922,198.50;30,191,030.50;998,183.25
Apr 1, 2022;May 1, 2022;40,129,113.75;23,000,337.00;992,820.50
May 1, 2022;Jun 1, 2022;39,885,049.50;24,428,430.75;989,614.00
Jun 1, 2022;Jul 1, 2022;37,362,692.25;23,857,643.50;1,066,433.75
Jul 1, 2022;Aug 1, 2022;38,367,536.50;23,289,003.25;1,362,532.75
Aug 1, 2022;Sep 1, 2022;37,453,414.00;25,718,338.25;1,065,622.50
Sep 1, 2022;Oct 1, 2022;37,355,684.25;24,561,800.75;1,095,242.00
Oct 1, 2022;Nov 1, 2022;38,545,695.00;24,002,125.25;1,294,916.75
Nov 1, 2022;Dec 1, 2022;39,774,611.25;25,243,950.25;1,334,451.00
Dec 1, 2022;Jan 1, 2023;40,912,897.25;28,314,476.00;1,346,943.25
Jan 1, 2023;Feb 1, 2023;42,152,953.75;24,000,380.75;1,134,621.25
Feb 1, 2023;Mar 1, 2023;38,138,075.50;23,810,858.75;909,109.25
Mar 1, 2023;Apr 1, 2023;40,874,908.50;22,644,627.00;1,175,485.75
Apr 1, 2023;May 1, 2023;36,144,685.50;20,540,590.75;1,198,690.50
May 1, 2023;Jun 1, 2023;36,318,209.50;19,990,713.25;1,162,599.75
Jun 1, 2023;Jul 1, 2023;35,485,232.00;20,513,846.75;920,165.25
Jul 1, 2023;Aug 1, 2023;36,264,123.50;18,392,701.75;828,847.75
Aug 1, 2023;Sep 1, 2023;36,301,119.50;22,802,469.75;972,285.75
Sep 1, 2023;Oct 1, 2023;35,807,797.50;22,564,140.50;1,039,807.75
