Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;11,352.00;9,443.50;145.50;706.50;192.00;62,495.00;17,626.50;0.00;4,996.75;3,192.00
Jan 2, 2015;Jan 3, 2015;11,352.00;9,409.75;5,092.50;286.25;192.00;57,631.50;39,015.50;0.00;4,899.25;3,192.00
Jan 3, 2015;Jan 4, 2015;11,352.00;11,635.25;4,522.75;625.50;192.00;63,459.25;15,399.25;0.00;6,983.75;3,192.00
Jan 4, 2015;Jan 5, 2015;11,352.00;12,104.25;3,541.00;3,165.50;192.00;64,624.25;1,178.50;0.00;6,921.00;3,192.00
Jan 5, 2015;Jan 6, 2015;11,352.00;12,952.25;711.25;8,005.75;192.00;64,590.00;37,517.00;0.00;6,755.50;3,192.00
Jan 6, 2015;Jan 7, 2015;11,352.00;13,738.75;618.50;7,497.50;192.00;64,707.50;48,944.00;0.00;3,713.25;3,192.00
Jan 7, 2015;Jan 8, 2015;11,352.00;13,409.00;1,495.25;2,698.75;192.00;64,578.00;60,333.00;0.00;8,326.00;3,192.00
Jan 8, 2015;Jan 9, 2015;11,352.00;13,163.50;6,524.25;1,956.50;192.00;64,589.75;52,087.50;0.00;7,457.50;3,192.00
Jan 9, 2015;Jan 10, 2015;11,352.00;13,452.25;9,870.75;1,438.50;192.00;64,189.00;38,933.25;0.00;8,214.75;3,192.00
Jan 10, 2015;Jan 11, 2015;11,352.00;13,817.75;10,951.00;4,787.75;192.00;62,742.25;7,526.50;0.00;8,074.25;3,192.00
Jan 11, 2015;Jan 12, 2015;11,352.00;13,118.50;8,110.00;3,787.00;192.00;62,139.00;8,140.00;0.00;7,216.50;3,192.00
Jan 12, 2015;Jan 13, 2015;11,352.00;14,314.50;8,711.50;3,720.50;192.00;64,174.50;36,221.25;0.00;8,317.00;3,192.00
Jan 13, 2015;Jan 14, 2015;11,352.00;13,904.25;6,993.00;10,733.25;192.00;64,537.25;49,169.00;0.00;9,302.50;3,192.00
Jan 14, 2015;Jan 15, 2015;11,352.00;13,941.75;7,098.00;2,657.50;192.00;64,672.75;60,559.00;0.00;10,954.25;3,192.00
Jan 15, 2015;Jan 16, 2015;11,352.00;14,090.25;4,872.00;2,585.00;192.00;64,713.75;48,689.75;0.00;7,321.00;3,208.00
Jan 16, 2015;Jan 17, 2015;11,352.00;14,563.25;1,452.50;2,106.25;192.00;64,715.00;62,300.00;203.50;9,785.00;3,192.00
Jan 17, 2015;Jan 18, 2015;11,352.00;13,621.75;1,993.00;1,164.25;192.00;61,678.00;38,831.50;0.00;6,548.25;3,192.00
