Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;Jan 2, 2015;126,180.75;125,328.75;13,463.50
Jan 2, 2015;Jan 3, 2015;147,068.75;141,690.00;13,661.25
Jan 3, 2015;Jan 4, 2015;141,413.50;136,265.25;12,602.25
Jan 4, 2015;Jan 5, 2015;132,434.75;125,728.25;11,493.00
Jan 5, 2015;Jan 6, 2015;152,600.50;143,883.50;14,395.50
Jan 6, 2015;Jan 7, 2015;140,462.25;132,346.25;10,740.00
Jan 7, 2015;Jan 8, 2015;184,923.00;180,729.00;6,371.50
Jan 8, 2015;Jan 9, 2015;190,384.75;181,904.00;8,958.50
Jan 9, 2015;Jan 10, 2015;186,891.75;175,582.50;8,925.50
Jan 10, 2015;Jan 11, 2015;150,299.00;134,560.25;10,222.25
Jan 11, 2015;Jan 12, 2015;140,483.50;128,586.50;11,247.00
Jan 12, 2015;Jan 13, 2015;194,563.00;182,131.00;10,363.25
Jan 13, 2015;Jan 14, 2015;196,379.00;178,652.75;7,697.25
Jan 14, 2015;Jan 15, 2015;198,836.00;189,080.50;10,490.00
Jan 15, 2015;Jan 16, 2015;198,230.25;190,773.25;10,923.50
Jan 16, 2015;Jan 17, 2015;194,664.75;191,106.00;8,075.00
Jan 17, 2015;Jan 18, 2015;161,714.50;158,557.25;9,275.50
Jan 18, 2015;Jan 19, 2015;143,302.00;136,604.50;11,314.00
Jan 19, 2015;Jan 20, 2015;200,354.50;195,028.00;6,948.75
Jan 20, 2015;Jan 21, 2015;205,515.50;204,246.50;7,210.00
Jan 21, 2015;Jan 22, 2015;208,325.00;204,542.00;8,563.50
Jan 22, 2015;Jan 23, 2015;206,551.75;205,157.75;8,746.00
Jan 23, 2015;Jan 24, 2015;203,931.00;203,208.00;8,018.75
Jan 24, 2015;Jan 25, 2015;165,199.75;163,464.75;8,605.00
Jan 25, 2015;Jan 26, 2015;147,019.25;144,875.00;8,513.50
Jan 26, 2015;Jan 27, 2015;203,710.25;201,162.25;6,758.25
Jan 27, 2015;Jan 28, 2015;206,377.50;202,286.00;8,004.75
Jan 28, 2015;Jan 29, 2015;205,760.00;199,904.50;7,980.25
Jan 29, 2015;Jan 30, 2015;202,513.25;194,821.00;10,011.00
Jan 30, 2015;Jan 31, 2015;199,659.75;192,233.00;8,587.75
Jan 31, 2015;Feb 1, 2015;161,832.00;156,968.00;6,229.00
Feb 1, 2015;Feb 2, 2015;146,035.00;141,303.00;10,156.25
Feb 2, 2015;Feb 3, 2015;201,102.25;196,092.50;8,154.00
Feb 3, 2015;Feb 4, 2015;206,721.00;201,868.00;8,212.50
Feb 4, 2015;Feb 5, 2015;210,210.75;205,535.00;6,135.25
Feb 5, 2015;Feb 6, 2015;208,590.25;199,838.50;6,692.50
Feb 6, 2015;Feb 7, 2015;206,593.50;191,484.75;6,978.50
Feb 7, 2015;Feb 8, 2015;168,162.00;165,278.00;9,138.75
Feb 8, 2015;Feb 9, 2015;150,766.75;143,381.50;12,233.00
Feb 9, 2015;Feb 10, 2015;204,596.00;199,018.25;11,172.75
Feb 10, 2015;Feb 11, 2015;206,244.00;201,367.75;7,076.50
Feb 11, 2015;Feb 12, 2015;205,898.25;197,423.75;6,732.75
Feb 12, 2015;Feb 13, 2015;202,468.25;193,241.25;6,485.25
Feb 13, 2015;Feb 14, 2015;197,642.00;186,898.75;5,188.00
Feb 14, 2015;Feb 15, 2015;158,140.50;148,257.75;12,766.25
Feb 15, 2015;Feb 16, 2015;143,722.00;136,823.50;13,595.75
Feb 16, 2015;Feb 17, 2015;190,631.25;183,527.75;10,877.50
Feb 17, 2015;Feb 18, 2015;198,615.25;194,608.50;6,884.00
Feb 18, 2015;Feb 19, 2015;204,048.25;199,634.25;8,922.50
Feb 19, 2015;Feb 20, 2015;200,642.75;192,300.75;9,676.50
Feb 20, 2015;Feb 21, 2015;193,761.00;173,974.50;11,321.00
Feb 21, 2015;Feb 22, 2015;157,153.50;148,077.50;9,396.25
Feb 22, 2015;Feb 23, 2015;141,674.00;135,563.75;7,589.25
Feb 23, 2015;Feb 24, 2015;197,848.00;192,077.75;8,189.25
Feb 24, 2015;Feb 25, 2015;199,637.50;190,208.75;10,634.00
Feb 25, 2015;Feb 26, 2015;198,803.75;185,619.75;7,958.00
Feb 26, 2015;Feb 27, 2015;197,228.25;176,832.75;9,945.25
Feb 27, 2015;Feb 28, 2015;195,764.50;191,135.50;6,364.00
Feb 28, 2015;Mar 1, 2015;157,039.50;142,933.25;10,495.50
Mar 1, 2015;Mar 2, 2015;138,484.75;128,252.50;8,928.50
Mar 2, 2015;Mar 3, 2015;193,436.75;176,430.25;15,037.50
Mar 3, 2015;Mar 4, 2015;197,437.75;172,106.75;13,544.50
Mar 4, 2015;Mar 5, 2015;197,778.25;180,930.50;7,184.00
Mar 5, 2015;Mar 6, 2015;197,000.00;180,846.00;8,960.75
Mar 6, 2015;Mar 7, 2015;191,934.25;172,674.75;6,559.75
Mar 7, 2015;Mar 8, 2015;155,175.25;135,261.50;11,575.25
Mar 8, 2015;Mar 9, 2015;134,666.25;112,251.25;14,720.50
Mar 9, 2015;Mar 10, 2015;185,876.75;162,495.25;8,012.25
Mar 10, 2015;Mar 11, 2015;192,515.50;175,580.25;8,124.00
Mar 11, 2015;Mar 12, 2015;191,310.25;169,295.25;9,513.75
Mar 12, 2015;Mar 13, 2015;191,791.50;169,521.75;7,355.75
Mar 13, 2015;Mar 14, 2015;189,546.75;168,979.50;8,064.50
Mar 14, 2015;Mar 15, 2015;153,512.00;141,432.00;6,829.25
Mar 15, 2015;Mar 16, 2015;134,887.50;116,690.50;9,267.25
Mar 16, 2015;Mar 17, 2015;186,788.50;162,703.50;10,115.50
Mar 17, 2015;Mar 18, 2015;190,003.50;166,095.00;9,736.00
Mar 18, 2015;Mar 19, 2015;187,865.00;165,563.00;11,408.50
Mar 19, 2015;Mar 20, 2015;184,539.00;161,719.25;9,541.25
Mar 20, 2015;Mar 21, 2015;183,301.75;160,327.50;11,945.50
Mar 21, 2015;Mar 22, 2015;149,503.00;134,685.75;8,848.75
Mar 22, 2015;Mar 23, 2015;132,672.25;120,522.00;10,871.50
Mar 23, 2015;Mar 24, 2015;188,285.25;175,326.50;10,689.50
Mar 24, 2015;Mar 25, 2015;191,757.25;169,113.00;7,674.50
Mar 25, 2015;Mar 26, 2015;190,356.00;187,504.25;8,866.25
Mar 26, 2015;Mar 27, 2015;192,749.75;185,294.25;8,264.00
Mar 27, 2015;Mar 28, 2015;188,155.75;169,159.00;10,913.75
Mar 28, 2015;Mar 29, 2015;148,197.25;124,412.50;7,924.50
Mar 29, 2015;Mar 30, 2015;124,606.50;109,090.00;11,718.00
Mar 30, 2015;Mar 31, 2015;187,112.50;166,004.75;13,740.50
Mar 31, 2015;Apr 1, 2015;186,393.75;169,465.75;9,777.50
Apr 1, 2015;Apr 2, 2015;190,289.00;165,141.25;9,208.00
Apr 2, 2015;Apr 3, 2015;187,666.75;171,228.75;13,780.50
Apr 3, 2015;Apr 4, 2015;135,752.50;108,858.25;7,962.50
Apr 4, 2015;Apr 5, 2015;135,142.25;128,702.50;9,305.00
Apr 5, 2015;Apr 6, 2015;120,757.25;95,684.25;13,368.50
Apr 6, 2015;Apr 7, 2015;123,739.00;107,981.50;8,655.75
Apr 7, 2015;Apr 8, 2015;178,378.75;148,585.75;8,700.50
Apr 8, 2015;Apr 9, 2015;182,499.25;153,583.25;6,497.50
Apr 9, 2015;Apr 10, 2015;181,289.50;151,285.00;10,278.25
Apr 10, 2015;Apr 11, 2015;176,048.50;148,294.25;8,777.75
Apr 11, 2015;Apr 12, 2015;140,724.00;121,408.00;8,507.50
Apr 12, 2015;Apr 13, 2015;121,756.50;98,137.00;12,769.00
Apr 13, 2015;Apr 14, 2015;178,646.00;151,364.25;13,874.25
Apr 14, 2015;Apr 15, 2015;184,368.50;153,947.25;10,423.75
Apr 15, 2015;Apr 16, 2015;184,574.25;153,567.25;12,191.25
Apr 16, 2015;Apr 17, 2015;183,465.00;160,690.75;10,334.00
Apr 17, 2015;Apr 18, 2015;179,696.25;167,213.00;9,392.00
Apr 18, 2015;Apr 19, 2015;141,486.00;112,481.75;12,775.50
Apr 19, 2015;Apr 20, 2015;123,983.25;88,432.75;11,578.50
Apr 20, 2015;Apr 21, 2015;178,897.75;146,845.50;10,195.00
Apr 21, 2015;Apr 22, 2015;185,103.25;153,028.50;8,724.00
Apr 22, 2015;Apr 23, 2015;181,967.25;148,464.25;8,543.25
Apr 23, 2015;Apr 24, 2015;180,026.50;149,167.75;10,671.50
Apr 24, 2015;Apr 25, 2015;179,636.00;147,193.25;7,822.25
Apr 25, 2015;Apr 26, 2015;142,749.25;128,854.50;6,531.75
Apr 26, 2015;Apr 27, 2015;123,871.00;99,067.50;7,031.75
Apr 27, 2015;Apr 28, 2015;179,955.00;158,618.50;8,274.25
Apr 28, 2015;Apr 29, 2015;186,439.25;169,780.75;9,057.75
Apr 29, 2015;Apr 30, 2015;183,256.00;152,821.75;10,059.25
Apr 30, 2015;May 1, 2015;180,185.25;156,389.25;8,475.25
May 1, 2015;May 2, 2015;123,887.00;117,289.00;7,853.50
May 2, 2015;May 3, 2015;128,324.50;114,153.00;8,782.25
May 3, 2015;May 4, 2015;121,549.00;111,979.75;10,691.00
May 4, 2015;May 5, 2015;177,282.75;154,688.50;9,018.75
May 5, 2015;May 6, 2015;182,268.00;166,051.75;9,812.75
May 6, 2015;May 7, 2015;180,879.00;156,257.75;9,780.00
May 7, 2015;May 8, 2015;178,391.75;147,776.75;11,394.75
May 8, 2015;May 9, 2015;175,525.75;145,239.50;8,523.50
May 9, 2015;May 10, 2015;137,267.25;114,143.75;8,222.75
May 10, 2015;May 11, 2015;118,381.25;88,234.00;17,021.00
May 11, 2015;May 12, 2015;177,421.50;147,404.25;6,856.00
May 12, 2015;May 13, 2015;182,678.00;151,470.00;9,035.00
May 13, 2015;May 14, 2015;177,588.00;149,952.75;6,138.75
May 14, 2015;May 15, 2015;127,795.25;106,846.50;10,381.00
May 15, 2015;May 16, 2015;149,502.00;138,111.50;9,267.00
May 16, 2015;May 17, 2015;132,944.00;103,934.25;8,402.75
May 17, 2015;May 18, 2015;116,942.50;92,489.25;10,097.75
May 18, 2015;May 19, 2015;173,885.25;139,903.00;13,356.75
May 19, 2015;May 20, 2015;179,990.25;163,488.75;10,007.25
May 20, 2015;May 21, 2015;179,876.75;164,493.50;9,325.75
May 21, 2015;May 22, 2015;176,247.25;151,282.50;6,997.25
May 22, 2015;May 23, 2015;171,939.75;140,825.75;7,787.25
May 23, 2015;May 24, 2015;132,692.50;109,058.50;9,400.25
May 24, 2015;May 25, 2015;109,181.75;89,965.50;8,067.00
May 25, 2015;May 26, 2015;113,070.25;95,984.50;8,738.25
May 26, 2015;May 27, 2015;167,291.75;151,942.75;10,259.25
May 27, 2015;May 28, 2015;174,609.75;152,975.00;8,799.00
May 28, 2015;May 29, 2015;173,049.75;141,704.25;12,288.00
May 29, 2015;May 30, 2015;170,743.75;147,105.25;8,014.50
May 30, 2015;May 31, 2015;136,431.50;116,400.00;10,552.00
May 31, 2015;Jun 1, 2015;116,505.00;88,974.50;16,819.25
Jun 1, 2015;Jun 2, 2015;173,053.75;152,454.25;8,128.00
Jun 2, 2015;Jun 3, 2015;178,236.50;146,398.75;11,287.75
Jun 3, 2015;Jun 4, 2015;176,566.50;141,777.75;9,505.50
Jun 4, 2015;Jun 5, 2015;129,937.00;95,662.50;7,055.50
Jun 5, 2015;Jun 6, 2015;155,612.00;121,571.50;9,175.75
Jun 6, 2015;Jun 7, 2015;138,970.25;108,247.25;14,203.25
Jun 7, 2015;Jun 8, 2015;121,587.25;91,034.00;16,114.25
Jun 8, 2015;Jun 9, 2015;177,761.50;166,176.00;8,028.25
Jun 9, 2015;Jun 10, 2015;180,663.50;168,946.50;7,787.75
Jun 10, 2015;Jun 11, 2015;182,496.25;167,585.00;7,598.00
Jun 11, 2015;Jun 12, 2015;183,676.25;155,736.75;6,532.25
Jun 12, 2015;Jun 13, 2015;182,407.50;153,297.25;7,510.00
Jun 13, 2015;Jun 14, 2015;141,715.50;115,324.00;7,130.75
Jun 14, 2015;Jun 15, 2015;122,850.25;94,333.25;12,654.50
Jun 15, 2015;Jun 16, 2015;176,703.50;160,467.75;4,241.50
Jun 16, 2015;Jun 17, 2015;181,607.50;160,673.00;6,291.50
Jun 17, 2015;Jun 18, 2015;180,572.25;148,575.75;7,336.00
Jun 18, 2015;Jun 19, 2015;179,855.50;167,972.75;7,408.00
Jun 19, 2015;Jun 20, 2015;175,831.25;153,260.75;7,842.00
Jun 20, 2015;Jun 21, 2015;138,565.00;122,489.50;5,639.25
Jun 21, 2015;Jun 22, 2015;120,029.50;102,234.75;8,032.00
Jun 22, 2015;Jun 23, 2015;174,347.00;157,276.75;5,602.00
Jun 23, 2015;Jun 24, 2015;179,533.50;154,737.25;6,999.75
Jun 24, 2015;Jun 25, 2015;178,485.50;149,837.75;6,285.25
Jun 25, 2015;Jun 26, 2015;178,094.50;148,613.25;5,760.25
Jun 26, 2015;Jun 27, 2015;175,709.50;144,827.25;4,341.00
Jun 27, 2015;Jun 28, 2015;138,702.75;117,688.25;9,353.25
Jun 28, 2015;Jun 29, 2015;118,895.75;86,884.00;9,851.00
Jun 29, 2015;Jun 30, 2015;177,100.50;149,085.00;4,962.50
Jun 30, 2015;Jul 1, 2015;183,676.25;150,265.75;4,860.25
Jul 1, 2015;Jul 2, 2015;184,722.50;150,212.00;7,455.50
Jul 2, 2015;Jul 3, 2015;189,317.75;155,512.25;7,034.00
Jul 3, 2015;Jul 4, 2015;187,451.75;158,880.50;7,494.50
Jul 4, 2015;Jul 5, 2015;147,979.75;116,117.25;8,251.00
Jul 5, 2015;Jul 6, 2015;131,563.50;100,208.25;10,078.00
Jul 6, 2015;Jul 7, 2015;185,731.75;153,571.75;7,636.00
Jul 7, 2015;Jul 8, 2015;192,775.50;161,413.75;7,882.75
Jul 8, 2015;Jul 9, 2015;186,632.75;158,694.75;7,383.25
Jul 9, 2015;Jul 10, 2015;181,835.25;158,131.25;8,250.50
Jul 10, 2015;Jul 11, 2015;176,984.00;142,346.50;10,302.50
Jul 11, 2015;Jul 12, 2015;141,953.50;107,156.00;6,195.00
Jul 12, 2015;Jul 13, 2015;124,056.25;93,278.50;6,805.25
Jul 13, 2015;Jul 14, 2015;178,038.50;163,284.25;4,448.25
Jul 14, 2015;Jul 15, 2015;185,347.25;160,007.25;5,623.00
Jul 15, 2015;Jul 16, 2015;188,177.00;158,296.75;6,024.25
Jul 16, 2015;Jul 17, 2015;190,227.75;159,525.25;5,372.50
